charite_doi;identifier_from_data_article_analysis;Numbat_data_identifier;listed_in_numbat_output;changed_ODDPub_result;limitation_manual_process;potentially_not_od;Comments;repository;year.of.dataset.publication;license;open.or.restricted;covid.related..1...yes..0...no.;human.data..1...yes..0...no.;comments.Evgeny...reasons..why.it.might.not.be.in.Numbat
10.1038/s41597-019-0129-z;10.18112/openneuro.ds001875.v1.0.3;NA;FALSE;FALSE;TRUE;NA;article from 2019 - before we documented detailed data IDs infos;OpenNEURO;2019;CC0;open;0;0;NA
10.1038/s41597-019-0129-z;https://doi.org/10.5281/zenodo.1471588;NA;FALSE;FALSE;TRUE;NA;article from 2019 - before we documented detailed data IDs infos;Zenodo;2018;CC-BY;open;0;0;NA
10.1038/s41597-019-0161-z;srp136594;NA;FALSE;FALSE;TRUE;NA;article from 2019 - before we documented detailed data IDs infos;Sequence Read Archive;2019;none;open;0;0;NA
10.1038/s41597-019-0161-z;srma00000000;NA;FALSE;FALSE;TRUE;NA;article from 2019 - before we documented detailed data IDs infos;NCBI Nucleotide;2019;none;open;0;0;NA
10.1038/s41597-019-0161-z;ghnv00000000;NA;FALSE;FALSE;TRUE;NA;article from 2019 - before we documented detailed data IDs infos;GenBank;2019;none;open;0;0;NA
10.1038/s41597-019-0161-z;10.6084/m9.figshare.c.4437488;NA;FALSE;FALSE;TRUE;NA;article from 2019 - before we documented detailed data IDs infos;Figshare;2019;CC0;open;0;0;NA
10.1038/s41597-019-0254-8;10.5061/dryad.119f80q;NA;FALSE;FALSE;TRUE;NA;article from 2019 - before we documented detailed data IDs infos;Dryad;2019;CC0;open;0;1;NA
10.1038/s41597-019-0254-8;10.18112/openneuro.ds002179.v1.1.0;NA;FALSE;FALSE;TRUE;NA;article from 2019 - before we documented detailed data IDs infos;OpenNEURO;2019;CC0;open;0;1;NA
10.1038/s41597-020-00597-w;10.6084/m9.figshare.c.4869732;https://doi.org/10.6084/m9.figshare.c.4869732;TRUE;NA;NA;NA;is in master file;Figshare;2020;CC0;open;0;1;NA
10.1038/s41597-020-00597-w;http://www.vocaltractlab.de/dvtd.zip;NA;FALSE;FALSE;TRUE;TRUE;for articles from 2020, only data IDs that contain OD/restricted data (or most likely contain OD) were documented. mening not just 1 dataset per 1 repo, but 1 dataset per 1 article overall.;n/a;2020;none;open;0;1;not a repository, but there is a dataset deposited
10.1038/s41597-020-00773-y;10.5281/zenodo.4059716;FALSE;FALSE;TRUE;FALSE;FALSE;Zenodo;2020;CC-BY;open;1;1;NA;
10.1038/s41597-020-0487-6;pxd016782;https://www.ebi.ac.uk/pride/archive/projects/PXD016782;TRUE;NA;NA;NA;for articles from 2020, only data IDs that contain OD/restricted data (or most likely contain OD) were documented. mening not just 1 dataset per 1 repo, but 1 dataset per 1 article overall.;Proteomics Identification Database (PRIDE);2020;CC0;open;0;1;NA
10.1038/s41597-020-0487-6;10.17632/nr7cs764rc.1;NA;FALSE;FALSE;TRUE;FALSE;for articles from 2020, only data IDs that contain OD/restricted data (or most likely contain OD) were documented. mening not just 1 dataset per 1 repo, but 1 dataset per 1 article overall.;Mendeley;2020;CC-BY;open;0;1;NA
