"referenceid";"username";"form_version";"doi";"article";"is_open_data";"open_data_category";"is_reuse";"is_open_code";"das";"open_data_statements";"cas";"open_code_statements";"reference_to_data";"comment_1_reference";"comments_vladi";"data_availability_statement";"comment_2_das";"findability";"comment_4_findability";"not_a_supplement";"comment_3_repository";"data_identifier";"comment_identifier";"repository";"data_access";"comment_5_data_access";"restricted_authorship";"comment_restricted_authorship";"year_of_data_publication";"open_text_1";"dataset_license";"comment_4_license";"license_name";"own_or_reuse_data";"comment_2_own_data";"machine_readable_format";"comment_6_machine_readability";"multi_select_excel";"multi_select_csv_tsv";"multi_select_txt_docs";"multi_select_other_text_formats";"multi_select_video";"multi_select_audio";"multi_select_picture";"multi_select_fasta_fastq";"multi_select_raw";"multi_select_generic_format";"multi_select_subject_specific_format";"multi_select_unsure";"comment_7_format";"illustrative_files";"comment_8_illustrative_files";"analytical_replication";"comment_9_analytical_replication";"open_data_assessment";"comment_10_assessment";"other_comments";"comment_other_datasets";"multi_select_genetic_sequences"
3;"admin";"Openness 2024";"10.1002/clt2.12228";"10.1002+clt2.12228.txt";TRUE;"general-purpose repository";FALSE;FALSE;"<section> d a t a a v a i la b i l i t y s t a t e m e n t anonymized data are available under osf accession number: doi 17605/osf.io/kcdw9.";"<section> d a t a a v a i la b i l i t y s t a t e m e n t anonymized data are available under osf accession number: doi 17605/osf.io/kcdw9.";"NULL";"NULL";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"https://doi.org/10.17605/OSF.IO/KCDW9";"NULL";"Open Science Framework (OSF)";"yes";"NULL";"NULL";"NULL";"2022";"NULL";"no";"NULL";"NULL";"own_open_data";"NULL";"yes";"NULL";"1";"NULL";"NULL";"NULL";"0";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"replication";"NULL";"open_data";"NULL";"NULL";"NULL";NA
13;"SophieWozniak";"Openness 2024";"10.1002/wps.21056";"10.1002+wps.21056.txt";TRUE;"field-specific repository";FALSE;FALSE;"NULL";"for total symptoms of schizophrenia a 5-week phase 2 trial (nct03697252) showed that karxt (containing a fixed combination of the muscarinic m1/m4 ago­ nist xanomeline plus the non-centrally act­ ing anticholinergic trospium chloride) given twice daily outperformed placebo (effect size = 0.75) without relevant cardio­ metabolic or neuromotor adverse effects but with some modest and mostly timelimited anticholinergic adverse events 5657 in august 2022 positive topline results for the primary outcome total positive and negative syndrome scale (panss) score (effect size = 0.61) and secondary outcomes have been released for the first of two simi­ larly designed placebo-controlled phase 3 studies in patients with acutely exacer­ bated schizophrenia (nct04659161).";"NULL";"NULL";"yes";"NULL";"NULL";"no_statement_no_data";"NULL";"no";"on https://clinicaltrials.gov/study/NCT04136873?tab=results: &quot;no study results posted&quot;";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"NULL";"NULL";"NULL";NA
34;"SophieWozniak";"Openness 2024";"10.1016/j.celrep.2023.112269";"10.1016+j.celrep.2023.112269.txt";TRUE;"field-specific repository, upon request";FALSE;FALSE;"<section> data and code availability d bulk-rna seq data have been deposited at geo and are publicly available as of the date of publication. accession numbers are listed in the key resource table. the patient’ data that support the findings of this study are available from the lead contact upon reasonable request. microscopy data reported in this paper will be shared by the lead contact upon request until 02/2033. d data were analysed using the standard deseq2 and qiime pipelines or with the stated variations. user scripts will be shared upon request. d any additional information required to reanalyze the data reported in this paper is available from the lead contact upon request. experimental model and subject details patient data two cohorts of patients were included for the analysis. one dataset includes the patients from a prospective interventional trial which aimed to test the impact of the introduction of structured communication on surgical infections as the main outcome parameter (stop? trial nct02428179). the institutional review board of the canton of bern and canton z € u rich switzerland have approved this study (ek zh 2015-0232 kek 161/14). the study included all consecutive patients except if patients refused to participate in clinical studies. the outcome parameters ssi was prospectively recorded in the context of a swiss surveillance program (swissnoso) that includes regular monitoring to ensure quality of inclusion of patients and assessment of the endpoints. median age of included patients was 58 years and 1985 patients (565%) were male. data on cultured bacteria were available from 2 participating centers from which the data were included. all consecutive patients undergoing liver resections for colorectal liver metastasis between 2001 and 2016 at the university hospital of vienna austria were retrospectively recorded (n = 335). the institutional review board of the medical university of vienna austria has approved this study (424/2010; 2032/2013 nct01700231 nct02118545). infectious complications were summarized with a possible event of an infection during the postoperative course. major liver resection was defined as resection of three or more liver segments according to the brisbane 2000 nomenclature. 73 all bacterial cultures of septic patient were manually reviewed and recorded. bacterial species were identified by maldi-tof mass spectrometry. other bacteria in figure 1b include: n = 2 citrobacter spp n = 1 fusobacterium spp n = 1 clostridium sordelli n = 1 streptococcus spp.";"accession numbers are listed in the key resource table.";"<section> data and code availability d bulk-rna seq data have been deposited at geo and are publicly available as of the date of publication. accession numbers are listed in the key resource table. the patient’ data that support the findings of this study are available from the lead contact upon reasonable request. microscopy data reported in this paper will be shared by the lead contact upon request until 02/2033. d data were analysed using the standard deseq2 and qiime pipelines or with the stated variations. user scripts will be shared upon request. d any additional information required to reanalyze the data reported in this paper is available from the lead contact upon request. experimental model and subject details patient data two cohorts of patients were included for the analysis. one dataset includes the patients from a prospective interventional trial which aimed to test the impact of the introduction of structured communication on surgical infections as the main outcome parameter (stop? trial nct02428179). the institutional review board of the canton of bern and canton z € u rich switzerland have approved this study (ek zh 2015-0232 kek 161/14). the study included all consecutive patients except if patients refused to participate in clinical studies. the outcome parameters ssi was prospectively recorded in the context of a swiss surveillance program (swissnoso) that includes regular monitoring to ensure quality of inclusion of patients and assessment of the endpoints. median age of included patients was 58 years and 1985 patients (565%) were male. data on cultured bacteria were available from 2 participating centers from which the data were included. all consecutive patients undergoing liver resections for colorectal liver metastasis between 2001 and 2016 at the university hospital of vienna austria were retrospectively recorded (n = 335). the institutional review board of the medical university of vienna austria has approved this study (424/2010; 2032/2013 nct01700231 nct02118545). infectious complications were summarized with a possible event of an infection during the postoperative course. major liver resection was defined as resection of three or more liver segments according to the brisbane 2000 nomenclature. 73 all bacterial cultures of septic patient were manually reviewed and recorded. bacterial species were identified by maldi-tof mass spectrometry. other bacteria in figure 1b include: n = 2 citrobacter spp n = 1 fusobacterium spp n = 1 clostridium sordelli n = 1 streptococcus spp.";"NULL";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158174";"NULL";"NCBI Gene Expression Omnibus (GEO)";"yes";"NULL";"NULL";"NULL";"2023";"NULL";"no";"NULL";"NULL";"own_open_data";"NULL";"yes";"NULL";"NULL";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"csv";"NULL";"NULL";"yes";"NULL";"open_data";"NULL";"NULL";"NULL";NA
91;"SophieWozniak";"Openness 2024";"10.1016/j.phymed.2023.154838";"10.1016+j.phymed.2023.154838.txt";TRUE;"general-purpose repository";FALSE;FALSE;"NULL";"recent data of isothiocyanates anti-viral activ­ ity are available from yu et al. (2016) investigating sulforaphane from broccoli (yu et al. 2016) and most recently against sars-cov2 virus (ordonez et al. 2022).";"NULL";"NULL";"no";"did not see any reference ";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"NULL";"NULL";"NULL";NA
109;"SophieWozniak";"Openness 2024";"10.1016/s2589-7500(23)00027-4";"10.1016+s2589-7500(23)00027-4.txt";TRUE;"field-specific repository, general-purpose repository, upon request";FALSE;FALSE;"<section> data sharing for the test datasets see https:// four of the test datasets (ukk1 wns cha and tcga) with zenodo.org/record/7548828 corresponding patch-level labels for tissue classes generated for validation are available open source for academic research purposes. for an extended version of the datasets including whole slide images and for the source codes see https:// annotations please contact the corresponding authors. all source codes github.com/cpath-ukk/ are open source.";"<section> data sharing for the test datasets see https:// four of the test datasets (ukk1 wns cha and tcga) with zenodo.org/record/7548828 corresponding patch-level labels for tissue classes generated for validation are available open source for academic research purposes. <section> data sharing for the test datasets see https:// four of the test datasets (ukk1 wns cha and tcga) with zenodo.org/record/7548828 corresponding patch-level labels for tissue classes generated for validation are available open source for academic research purposes.";"NULL";"NULL";"yes";"NULL";"NULL";"yes";"NULL";"yes";"words are linked to zenodo; DOI nor Link of website are given";"yes";"NULL";"https://doi.org/10.5281/zenodo.7548828";"NULL";"Zenodo";"yes";"NULL";"NULL";"NULL";"2023";"NULL";"no";"NULL";"NULL";"own_open_data";"NULL";"format_unknown";".tar files are too large to check";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"replication";"due to size";"open_data";"NULL";"NULL";"NULL";NA
114;"SophieWozniak";"Openness 2024";"10.1021/jacsau.3c00199";"10.1021+jacsau.3c00199.txt";TRUE;"field-specific repository";FALSE;FALSE;"NULL";"in an analysis of crosslinked escherichia increases from nearly 1 for a conventionally cleavable crosslinker to sensitivity of selecting the individual peptides for ms3 even more available via proteomexchange with identifier pxd040267.;     (pdf) all proteomics data have been deposited to the proteomexchange consortium via the pride 27 partner repository with the dataset identifiers pxd040267 and 10.6019/";"NULL";"NULL";"yes";"NULL";"NULL";"no_statement_no_data";"NULL";"yes";"NULL";"yes";"NULL";"https://www.ebi.ac.uk/pride/archive/projects/PXD040267";"NULL";"Pride Archive ProteomeXchange Consortium";"yes";"NULL";"NULL";"NULL";"2023";"NULL";"yes";"NULL";"CC0";"own_open_data";"NULL";"yes";"NULL";"NULL";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"1";"NULL";"1";"NULL";"raw; .csv; peak";"yes";"NULL";"yes";"NULL";"open_data";"NULL";"NULL";"NULL";NA
121;"SophieWozniak";"Openness 2024";"10.1038/s41386-023-01588-2";"10.1038+s41386-023-01588-2.txt";TRUE;"general-purpose repository";FALSE;TRUE;"NULL";"the data has been retrieved from the asdb repository on open science framework (osf; https://osf.io/8mbru version asdb_v.2022-12-31) which contains data from medline-listed studies on altered states of consciousness published from 1975-01-01 to 2022-12-31.";"NULL";"the r-syntax of this analysis is available on github: https:// github.com/timhirschfeld/doseresponse_lsd.";"yes";"NULL";"NULL";"no_statement_no_data";"NULL";"yes";"NULL";"yes";"NULL";"https://doi.org/10.17605/OSF.IO/8MBRU";"NULL";"Open Science Framework (OSF)";"yes";"NULL";"NULL";"NULL";"2024";"NULL";"yes";"NULL";"CC0";"own_open_data";"NULL";"yes";"NULL";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"xlsx";"NULL";"NULL";"yes";"NULL";"open_data";"NULL";"NULL";"NULL";NA
137;"SophieWozniak";"Openness 2024";"10.1038/s41467-023-38780-3";"10.1038+s41467-023-38780-3.txt";TRUE;"field-specific repository, re-use";TRUE;TRUE;"<section> data availability all scrnaseq data generated in this study have been deposited in the national centre for biotechnology gene expression information omnibus (geo) under accession code gse231716. the previously published scrnaseq data are available in the geo under accession code gse114374 and gse172261. source data are provided with this paper.";"<section> data availability all scrnaseq data generated in this study have been deposited in the national centre for biotechnology gene expression information omnibus (geo) under accession code gse231716.      the previously published scrnaseq data are available in the geo under accession code gse114374 and gse172261.";"<section> code availability all computational codes can be accessed under https://github.com/ sigal-lab/lin_colon_assembloids.";"<section> code availability all computational codes can be accessed under https://github.com/ sigal-lab/lin_colon_assembloids.";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231716";"NULL";"NCBI Gene Expression Omnibus (GEO)";"yes";"NULL";"NULL";"NULL";"2023";"NULL";"no";"NULL";"NULL";"own_open_data";"NULL";"yes";"NULL";"NULL";"1";"NULL";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";".mtx; .tsv";"NULL";"NULL";"yes";"NULL";"open_data";"NULL";"NULL";"NULL";NA
141;"SophieWozniak";"Openness 2024";"10.1038/s41467-023-39869-5";"10.1038+s41467-023-39869-5.txt";TRUE;"field-specific repository, general-purpose repository";FALSE;TRUE;"<section> data availability the parameter log and result ?les in this study are available in https:// doi.org/10.5281/zenodo.7261712. the raw mass spectrometry data used in this study are available in the massive under accession code msv000082805 and msv000084000; in the proteomexchange under accession code pxd022992 pxd023325 and pxd027679; in the national cancer institute proteomic data commons under accession code pdc000200; and in the european genome-phenome archive under accession code egad00010002223. the proteome database ?les used in this study are available in the uniprot database under the proteome id up000005640 (h. sapiens) up000002311 (s. cerevisiae) up000000625 (e. coli) and up000006548 (a. thaliana). the contaminant protein database used in this study are available in https:// www.thegpm.org/crap/. source data are provided with this paper.";"the raw mass spectrometry data used in this study are available in the massive under accession code msv000082805 and msv000084000; in the proteomexchange under accession code pxd022992 pxd023325 and pxd027679; in the national cancer institute proteomic data commons under accession code pdc000200; and in the european genome-phenome archive under accession code egad00010002223.;     the proteome database ?les used in this study are available in the uniprot database under the proteome id up000005640 (h. <section> data availability the parameter log and result ?les in this study are available in https:// doi.org/10.5281/zenodo.7261712.";"<section> code availability msfragger-dia and msfragger can be downloaded as a single jar binary ?le at https://msfragger.nesvilab.org/. fragpipe is available on github at https://github.com/nesvilab/fragpipe. the python and r scripts for summarizing the results and generating the ?gures is available at https://github.com/nesvilab/msfragger-dia-manuscript.";"fragpipe is available on github at https://github.com/nesvilab/fragpipe.;     the python and r scripts for summarizing the results and generating the ?gures is available at https://github.com/nesvilab/msfragger-dia-manuscript.";"yes";"NULL";"NULL";"yes";"NULL";"yes";"NULL";"yes";"NULL";"https://doi.org/10.5281/zenodo.7261712";"NULL";"Zenodo";"yes";"NULL";"NULL";"NULL";"2023";"NULL";"yes";"NULL";"CC BY";"own_open_data";"NULL";"yes";"NULL";"0";"1";"1";"NULL";"NULL";"NULL";"NULL";"1";"NULL";"NULL";"NULL";"NULL";".txt; fasta; tsv; csv";"NULL";"NULL";"replication";"NULL";"open_data";"NULL";"NULL";"NULL";NA
141;"SophieWozniak";"Openness 2024";"10.1038/s41467-023-39869-5";"10.1038+s41467-023-39869-5.txt";TRUE;"field-specific repository, general-purpose repository";FALSE;TRUE;"<section> data availability the parameter log and result ?les in this study are available in https:// doi.org/10.5281/zenodo.7261712. the raw mass spectrometry data used in this study are available in the massive under accession code msv000082805 and msv000084000; in the proteomexchange under accession code pxd022992 pxd023325 and pxd027679; in the national cancer institute proteomic data commons under accession code pdc000200; and in the european genome-phenome archive under accession code egad00010002223. the proteome database ?les used in this study are available in the uniprot database under the proteome id up000005640 (h. sapiens) up000002311 (s. cerevisiae) up000000625 (e. coli) and up000006548 (a. thaliana). the contaminant protein database used in this study are available in https:// www.thegpm.org/crap/. source data are provided with this paper.";"the raw mass spectrometry data used in this study are available in the massive under accession code msv000082805 and msv000084000; in the proteomexchange under accession code pxd022992 pxd023325 and pxd027679; in the national cancer institute proteomic data commons under accession code pdc000200; and in the european genome-phenome archive under accession code egad00010002223.;     the proteome database ?les used in this study are available in the uniprot database under the proteome id up000005640 (h. <section> data availability the parameter log and result ?les in this study are available in https:// doi.org/10.5281/zenodo.7261712.";"<section> code availability msfragger-dia and msfragger can be downloaded as a single jar binary ?le at https://msfragger.nesvilab.org/. fragpipe is available on github at https://github.com/nesvilab/fragpipe. the python and r scripts for summarizing the results and generating the ?gures is available at https://github.com/nesvilab/msfragger-dia-manuscript.";"fragpipe is available on github at https://github.com/nesvilab/fragpipe.;     the python and r scripts for summarizing the results and generating the ?gures is available at https://github.com/nesvilab/msfragger-dia-manuscript.";"yes";"NULL";"NULL";"yes";"raw mass spectrometry data used in this study are available in the MassIVE under accession code MSV000082805 and MSV000084000;";"no";"&quot;URLs are disabled&quot;";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"no_open_data";"NULL";"NULL";"NULL";NA
