"doi_charite","publication_year_charite","charite_data_id_or_acc_nr","dataset_publication_year"
"10.1073/pnas.2206324120",2023,"e-mtab-862",2012
"10.1172/jci158348",2023,"e-tabm-713",2009
"10.1016/j.neo.2023.100934",2023,"gse14764",2009
"10.1038/s41467-023-40584-4",2023,"gse19784",2010
"10.1038/s41467-023-38044-0",2023,"gse21687",2010
"10.1038/s41598-020-64431-4",2020,"gse55235",2014
"10.1111/cge.13977",2021,"nm_013275",2024
"10.1038/s41598-020-66334-w",2020,"phs000090",2023
"10.1038/s41588-021-00973-1",2021,"phs000101",2011
"10.1038/s41588-023-01561-1",2023,"phs000235",2021
