"doi_charite","publication_year_charite"
"10.1192/bjp.2023.107",2023
"10.3389/fimmu.2020.00179",2020
"10.1038/s41467-021-25728-8",2021
"10.1007/s00406-023-01593-y",2023
"10.1093/jnci/djad001",2023
"10.1073/pnas.2206324120",2023
"10.1172/jci158348",2023
"10.1038/s41467-023-39253-3",2023
"10.1038/s41596-019-0251-6",2020
"10.1016/j.neo.2023.100934",2023
"10.1016/j.isci.2021.102151",2021
"10.1038/s41467-021-24007-w",2021
"10.1172/jci169225",2023
"10.1038/s41467-023-40584-4",2023
"10.1038/s41467-023-38044-0",2023
"10.1038/s41598-020-64431-4",2020
"10.1038/s41467-021-21994-8",2021
"10.1007/s00401-020-02250-7",2020
"10.1136/gutjnl-2020-321016",2020
"10.1038/s41598-023-27792-0",2023
"10.1111/cge.13977",2021
"10.1038/s41598-020-66334-w",2020
"10.1038/s41588-021-00973-1",2021
"10.3390/cancers13081807",2021
"10.1038/s41588-023-01561-1",2023
"10.1038/s41588-023-01422-x",2023
"10.1038/s41467-020-18367-y",2020
"10.1038/s41591-023-02397-2",2023
"10.1016/j.xhgg.2022.100166",2022
"10.1038/s41467-021-26061-w",2021
