"doi","publication_year","authors"
"https://doi.org/10.1002/1878-0261.12835",2020,"Katharina Lankes;Zonera Hassan;María Josefina Doffo;Christian Schneeweis;Svenja Lier;Rupert Öllinger;Roland Rad;Oliver H. Krämer;Ulrich Keller;Dieter Saur;Maximilian Reichert;Günter Schneider;Matthias Wirth"
"https://doi.org/10.1002/jbmr.4287",2020,"Gill Holdsworth;James R Staley;Peter Hall;Ian D. van Koeverden;Ciara Vangjeli;Remi Okoye;Rogely Boyce;James R. Turk;Martin Armstrong;Alison Wolfreys;Gerard Pasterkamp"
"https://doi.org/10.1002/mnfr.202101091",2022,"Florence Thirion;Kévin Da Silva;Florian Plaza Oñate;Anne‐Sophie Alvarez;Clémentine Thabuis;Nicolas Pons;Magali Berland;Emmanuelle Le Chatelier;Nathalie Galleron;Florence Levenez;Coralie Vergara;Hélène Chevallier;Laetitia Guérin‐Deremaux;Joël Doré;S. Dusko Ehrlich"
"https://doi.org/10.1007/s00401-011-0904-1",2011,"Hazel Rogers;John‐Paul Kilday;Cerys Mayne;Jennifer H. Ward;Martyna Adamowicz‐Brice;Ed C. Schwalbe;Steven C. Clifford;Beth Coyle;Richard G. Grundy"
"https://doi.org/10.1007/s11060-010-0509-x",2010,"José Javier Otero;David H. Rowitch;Scott R. VandenBerg"
"https://doi.org/10.1007/s11682-022-00665-2",2022,"Kelly T. Cosgrove;Timothy J. McDermott;Evan J. White;Matthew W. Mosconi;Wesley K. Thompson;Martin P. Paulus;Carlos Cardenas‐Iniguez;Robin L. Aupperle"
"https://doi.org/10.1007/s11682-022-00708-8",2022,"Livio Tarchi;Stefano Damiani;Teresa Fantoni;Tiziana Pisano;Giovanni Castellini;Pierluigi Politi;Valdo Ricca"
"https://doi.org/10.1007/s12022-022-09727-z",2022,"Matthias Dottermusch;Roman Rotermund;Franz Ricklefs;Annika K. Wefers;Wolfgang Saeger;Jörg Flitsch;Markus Glatzel;Jakob Matschke"
"https://doi.org/10.1016/j.cell.2022.04.008",2022,"Nina Marchi;Laura Winkelbach;Ilektra Schulz;Maxime Brami;Zuzana Hofmanová;Jens Blöcher;Carlos S. Reyna-Blanco;Yoan Diekmann;Alexandre H. Thiéry;Adamandia Kapopoulou;Vivian Link;Valérie Piuz;Susanne Kreutzer;Sylwia M. Figarska;Elissavet Ganiatsou;Albert Pukaj;Travis J. Struck;Ryan N. Gutenkunst;Necmi Karul;Fokke Gerritsen;Joachim Pechtl;Joris Peters;Andrea Zeeb‐Lanz;Eva Lenneis;Maria Teschler‐Nicola;Sevasti Triantaphyllou;Sofija Stefanović;Christina Papageorgopoulou;Daniel Wegmann;Joachim Bürger;Laurent Excoffier"
"https://doi.org/10.1016/j.celrep.2021.109878",2021,"Lutz Menzel;Maria Zschummel;Tadhg Crowley;Vedran Franke;Michael Grau;Carolin Ulbricht;Anja E. Hauser;Volker Siffrin;Marc Bajénoff;Sophie E. Acton;Altuna Akalin;Georg Lenz;Gerald Willimsky;Uta E. Höpken;Armin Rehm"
"https://doi.org/10.1016/j.celrep.2021.110060",2021,"Jennifer E. Klomp;Ye S. Lee;Craig M. Goodwin;Bjoern Papke;Jeffrey A. Klomp;Andrew M. Waters;Clint A. Stalnecker;Jonathan M. DeLiberty;Kristina Drizyte‐Miller;Runying Yang;J. Nathaniel Diehl;Hongwei Yin;Mariaelena Pierobon;Elisa Baldelli;Meagan B. Ryan;Siqi Li;Jackson J. Peterson;Amber R. Smith;James T. Neal;Aaron K. McCormick;Calvin J. Kuo;Christopher M. Counter;Emanuel F. Petricoin;Adrienne D. Cox;Kirsten L. Bryant;Channing J. Der"
"https://doi.org/10.1016/j.isci.2019.100780",2019,"Stefanie Warnat‐Herresthal;Konstantinos Perrakis;Bernd Taschler;Matthias Becker;Kevin Baßler;Marc Beyer;Patrick Günther;Jonas Schulte-Schrepping;Lea Seep;Kathrin Klee;Thomas Ulas;Torsten Haferlach;Sach Mukherjee;Joachim L. Schultze"
"https://doi.org/10.1016/j.jinf.2022.07.013",2022,"Jiantao Fu;Yuxiao Luo;Xin Fang;LU Jian-min;Jin Yang"
