"author","doi","dataset","position","number_of_citations"
"A Machleidt","10.1186/s13058-020-01379-3","gse89888","middle",1
"Abdel Abdellaoui","10.1016/j.bpsgos.2021.07.008","phs000670","middle",1
"Adrien Guillot","10.1038/s41586-020-2882-8","gse125521","middle",1
"Adrien Guillot","10.1038/s41586-020-2882-8","gse52509","middle",3
"Agathe Niewienda","10.1038/s41467-022-31492-0","up000005640","middle",6
"Agnieszka Münster‐Wandowski","10.1016/j.molcel.2020.11.037","6swa","middle",1
"Agnieszka Münster‐Wandowski","10.1016/j.molcel.2020.11.037","nm_011119","middle",4
"Alena Mayer","10.1038/s41586-021-03767-x","gcst011074","middle",1
"Alexander Wree","10.1002/hep.32776","gse132662","last",3
"Alexandra Trinks","10.15252/emmm.202114123","gse166555","middle",9
"Alice Braun","10.1038/s41467-020-20603-4","gse140686","middle",2
"Alice Braun","10.1038/s41586-021-03767-x","gcst011074","middle",1
"Alice Braun","10.1038/s41588-021-00973-1","phs000101","middle",6
"Alice Braun","10.1038/s41588-021-00973-1","phs000168","middle",18
"Alice Braun","10.1038/s41588-021-00973-1","phs000351","middle",6
"Alice Buonfiglioli","10.3390/cells9010186","gse138532","middle",1
"Andranik Ivanov","10.1016/j.isci.2021.102151","gse148729","middle",40
"Andranik Ivanov","10.1038/s41467-023-41502-4","gse143796","middle",1
"Andrea A. Kühn","10.1016/j.biopsych.2021.04.006","10.7910/dvn/25833","middle",1
"Andrea Lau","10.1038/s41467-020-17467-z","gse4475","middle",46
"Andrea Lau","10.1038/s41586-021-03995-1","10.6084/m9.figshare.12436517","middle",1
"Andrea Rasche","10.1128/mbio.02755-20","mn433617","middle",2
"Andreas C. Hocke","10.1016/j.isci.2021.102151","gse148729","middle",40
"Andreas C. Hocke","10.1038/s41467-021-24007-w","gse148729","middle",40
"Andreas Diefenbach","10.1038/s41586-021-03583-3","gse122515","middle",1
"Andreas Heinz","10.1038/s41380-022-01800-7","nm_181726","middle",1
"Andreas Heinz","10.1038/s41467-020-18367-y","phs000930","middle",8
"Andreas Horn","10.1016/j.biopsych.2021.04.006","10.7910/dvn/25833","last",1
"Andreas Magg","10.1038/s41586-021-03208-9","gse84795","middle",4
"Andres Moreira-Soto","10.1038/s42003-022-03421-w","gu190215","middle",8
"Andres Moreira-Soto","10.1038/s42003-022-03421-w","kr559017","middle",1
"Andres Moreira-Soto","10.3201/eid2707.204660","mt108784","middle",1
"Andy Roemhild","10.3389/fcell.2021.751590","gse113405","middle",1
"Angelika Eggert","10.3390/cancers13081807","phs000124","middle",1
"Angelika Eggert","10.3390/cancers13081807","phs000467","middle",6
"Animesh Bhattacharya","10.1038/s41467-020-17467-z","gse4475","middle",46
"Anja E. Hauser","10.1038/s41467-021-21994-8","gse63197","last",2
"Anja Lekaj","10.1002/jimd.12341","nm_001690","middle",2
"Anja Richter","10.1016/j.isci.2021.102151","gse148729","middle",40
"Anja Richter","10.1038/s41467-021-24007-w","gse148729","middle",80
"Anja Sieber","10.15252/emmm.202114123","gse166555","middle",9
"Anna Dolnik","10.1182/bloodadvances.2020003230","gse158596","middle",1
"Anna Pascual-Reguant","10.1038/s41467-021-21994-8","gse63197","first",2
"Anna-Lena Sander","10.1038/s42003-022-03421-w","gu190215","first",8
"Anna-Lena Sander","10.1038/s42003-022-03421-w","kr559017","first",1
"Anne Claußnitzer","10.1038/s41598-020-64431-4","gse38351","middle",8
"Anne Claußnitzer","10.1038/s41598-020-64431-4","gse51997","middle",6
"Anne Claußnitzer","10.1038/s41598-020-64431-4","gse55235","middle",120
