"author","doi","dataset","position","number_of_citations"
" Lett, Tristram A.","10.1038/s41467-020-18367-y","phs000930","middle",8
"A Machleidt","10.1186/s13058-020-01379-3","gse89888","middle",1
"Abdellaoui, Abdel","10.1016/j.bpsgos.2021.07.008","phs000670","middle",1
"Acuna-Hidalgo, Rocio","10.1038/s41467-023-38044-0","gse21687","middle",7
"Acuna-Hidalgo, Rocio","10.1038/s41467-023-38044-0","gse64415","middle",8
"Adler, Julia M.","10.1038/s41564-023-01352-8","gse200596","middle",1
"Adrien Guillot","10.1038/s41586-020-2882-8","gse125521","middle",1
"Adrien Guillot","10.1038/s41586-020-2882-8","gse52509","middle",3
"Agathe Niewienda","10.1038/s41467-022-31492-0","up000005640","middle",6
"Agnieszka Münster‐Wandowski","10.1016/j.molcel.2020.11.037","6swa","middle",1
"Agnieszka Münster‐Wandowski","10.1016/j.molcel.2020.11.037","nm_011119","middle",4
"Alexandra Trinks","10.15252/emmm.202114123","gse166555","middle",9
"Alice Braun","10.1038/s41588-021-00973-1","phs000101","middle",6
"Alice Braun","10.1038/s41588-021-00973-1","phs000168","middle",18
"Alice Braun","10.1038/s41588-021-00973-1","phs000351","middle",6
"Alice Buonfiglioli","10.3390/cells9010186","gse138532","middle",1
"Allou, Lila","10.1038/s41586-021-03208-9","gse84795","first",2
"Altmüller, Janine","10.1186/s13578-022-00896-2","gse49711","middle",25
"Andranik Ivanov","10.1016/j.isci.2021.102151","gse148729","middle",40
"Andranik Ivanov","10.1038/s41467-023-41502-4","gse143796","middle",1
"Andrea A. Kühn","10.1016/j.biopsych.2021.04.006","10.7910/dvn/25833","middle",1
"Andrea Lau","10.1038/s41467-020-17467-z","gse4475","middle",46
"Andrea Lau","10.1038/s41586-021-03995-1","10.6084/m9.figshare.12436517","middle",1
"Andreas C. Hocke","10.1016/j.isci.2021.102151","gse148729","middle",40
"Andreas Diefenbach","10.1038/s41586-021-03583-3","gse122515","middle",1
"Andreas Heinz","10.1038/s41380-022-01800-7","nm_181726","middle",1
"Andreas Horn","10.1016/j.biopsych.2021.04.006","10.7910/dvn/25833","last",1
"Andy Roemhild","10.3389/fcell.2021.751590","gse113405","middle",1
"Angelika Eggert","10.3390/cancers13081807","phs000124","middle",1
"Angelika Eggert","10.3390/cancers13081807","phs000467","middle",6
"Animesh Bhattacharya","10.1038/s41467-020-17467-z","gse4475","middle",46
"Anja Richter","10.1016/j.isci.2021.102151","gse148729","middle",40
"Anja Sieber","10.15252/emmm.202114123","gse166555","middle",9
"Anna Dolnik","10.1182/bloodadvances.2020003230","gse158596","middle",1
"Anne Claußnitzer","10.1038/s41598-020-64431-4","gse38351","middle",8
"Anne Claußnitzer","10.1038/s41598-020-64431-4","gse51997","middle",6
"Anne Claußnitzer","10.1038/s41598-020-64431-4","gse55235","middle",120
"Anne Claußnitzer","10.1038/s41598-020-64431-4","gse58173","middle",1
"Anne Kopp","10.3390/v14051041","on158817","middle",1
"Anne Kopp","10.3390/v14051041","on158818","middle",1
"Anne Kopp","10.3390/v14051041","on186499","middle",1
"Anne Kopp","10.3390/v14051041","on186526","middle",1
"Anne Sae Lim von Stuckrad","10.1002/eji.202048797","gse160097","middle",1
"Anne Schulze","10.3389/fcell.2021.751590","gse113405","middle",1
"Anne Thieme","10.1007/s00401-021-02377-1","gse185041","middle",1
"Antje Beling","10.1038/s41467-021-26061-w","pxd018345","middle",2
"Antje Richter","10.1182/bloodadvances.2020003230","gse158596","middle",1
"Arend Koch","10.1007/s00401-021-02377-1","gse185041","middle",1
"Aschman, Tom","10.1038/s41467-021-24007-w","gse148729","middle",40
"Athanasia Ziagaki","10.3390/genes14071408","nm_017986","middle",2
"Awasthi, Swapnil","10.1038/s41398-023-02705-x","10.17863/cam.23511","middle",1
"Awasthi, Swapnil","10.1038/s41467-020-20603-4","gse140686","middle",2
"Bamopoulos, Stefanos A.","10.1038/s41375-020-0839-4","gse146173","first",8
"Barbara Hollunder","10.1016/j.biopsych.2021.04.006","10.7910/dvn/25833","middle",1
"Bassam Al‐Fatly","10.1016/j.biopsych.2021.04.006","10.7910/dvn/25833","middle",1
"Bauherr, Sandy","10.1038/s41467-021-21994-8","gse63197","middle",1
"Baumgardt, Morris","10.1038/s41564-023-01352-8","gse200596","middle",1
"Benedikt Obermayer","10.1038/s41467-021-25030-7","gse162208","middle",2
"Benedikt Obermayer","10.15252/emmm.202114123","gse166555","middle",9
"Bernhard Gillissen","10.1182/bloodadvances.2020003230","gse158596","middle",1
"Biljana Smiljanovic","10.1038/s41598-020-64431-4","gse38351","first",8
"Biljana Smiljanovic","10.1038/s41598-020-64431-4","gse51997","first",6
"Biljana Smiljanovic","10.1038/s41598-020-64431-4","gse55235","first",120
"Biljana Smiljanovic","10.1038/s41598-020-64431-4","gse58173","first",1
"Birchmeier, Walter","10.1038/s41467-020-14700-7","gse66270","last",20
"Birchmeier, Walter","10.1038/s41467-020-14700-7","gse66271","last",8
"Birgit Sawitzki","10.1038/s41467-021-25030-7","gse162208","middle",2
"Birgit Sawitzki","10.15252/emmm.202114123","gse166555","middle",9
"Bischoff, Philip","10.1016/j.neo.2023.100934","gse14764","middle",138
"Blüthgen, Nils","10.1038/s41564-023-01352-8","gse200596","middle",1
"Bockmayr, Michael","10.1007/s00401-020-02250-7","gse70678","middle",5
"Bockmayr, Michael","10.1007/s00401-020-02250-7","gse90496","middle",19
"Boomsma, Dorret I.","10.1016/j.bpsgos.2021.07.008","phs000670","middle",1
"Boschann, Felix","10.1038/s41431-023-01382-0","nm_198514","last",6
"Braicu, Ioana Elena","10.1016/j.neo.2023.100934","gse14764","middle",138
"Braun, Alice","10.1038/s41467-020-20603-4","gse140686","middle",2
"Braun, Alice","10.1038/s41586-021-03767-x","gcst011074","middle",1
"Bruno Stuhlmüller","10.1038/s41598-020-64431-4","gse38351","middle",8
"Bruno Stuhlmüller","10.1038/s41598-020-64431-4","gse51997","middle",6
"Bruno Stuhlmüller","10.1038/s41598-020-64431-4","gse55235","middle",120
"Bruno Stuhlmüller","10.1038/s41598-020-64431-4","gse58173","middle",1
"Bullinger, Lars","10.1038/s41467-021-25403-y","gse58211","middle",2
"Burmeister, Thomas","10.1038/s41598-023-27792-0","gse78132","middle",1
