author	doi	dataset	position	number_of_citations
Alexander Wree	10.1002/hep.32776	gse132662	last	3
Andreas Horn	10.1016/j.biopsych.2021.04.006	10.7910/dvn/25833	last	1
Anja E. Hauser	10.1038/s41467-021-21994-8	gse63197	last	2
Anna Pascual-Reguant	10.1038/s41467-021-21994-8	gse63197	first	2
Anna-Lena Sander	10.1038/s42003-022-03421-w	gu190215	first	8
Anna-Lena Sander	10.1038/s42003-022-03421-w	kr559017	first	1
Annika Fendler	10.1038/s41467-020-14700-7	gse66270	first	40
Annika Fendler	10.1038/s41467-020-14700-7	gse66271	first	16
Benjamin Judkewitz	10.1038/s41597-019-0161-z	srma00000000	last	1
Biljana Smiljanovic	10.1038/s41598-020-64431-4	gse38351	first	8
Biljana Smiljanovic	10.1038/s41598-020-64431-4	gse51997	first	6
Biljana Smiljanovic	10.1038/s41598-020-64431-4	gse55235	first	120
Biljana Smiljanovic	10.1038/s41598-020-64431-4	gse58173	first	1
Björn Fischer?Zirnsak	10.1002/jimd.12341	nm_001690	last	2
C.M.T. Spahn	10.1016/j.molcel.2020.11.037	6swa	last	1
C.M.T. Spahn	10.1016/j.molcel.2020.11.037	nm_011119	last	4
Chao Ma	10.1155/2020/5943014	gse85047	last	25
Eliane T. Taube	10.1016/j.neo.2023.100934	gse14764	last	69
Felix Boschann	10.1038/s41431-023-01382-0	nm_198514	last	6
Florian Uhlitz	10.15252/emmm.202114123	gse166555	first	9
Geraldine Nouailles	10.1038/s41467-021-25030-7	gse162208	first	2
Geraldine Nouailles	10.1038/s41564-023-01352-8	gse200596	first	1
Guido Vogt	10.1002/jimd.12341	nm_001690	first	2
Henrike L. Sczakiel	10.1038/s41431-023-01382-0	nm_198514	first	4
Inga Hoffmann	10.1016/j.neo.2023.100934	gse14764	first	69
Jan Felix Drexler	10.1038/s42003-022-03421-w	gu190215	last	16
Jan Felix Drexler	10.1038/s42003-022-03421-w	kr559017	last	2
Jana Knorr	10.1002/hep.32776	gse132662	first	3
John P. A. Ioannidis	10.1098/rsos.210389	10.17632/btchxktzyw	first	3
Julia K. Polansky	10.3389/fcell.2021.751590	gse113405	last	1
Kolja Schleich	10.1038/s41467-020-17467-z	gse4475	first	46
Kristy Ou	10.3389/fcell.2021.751590	gse113405	first	1
Lars Bullinger	10.1182/bloodadvances.2020003230	gse158596	last	1
Lila Allou	10.1038/s41586-021-03208-9	gse84795	first	2
Livius Penter	10.1158/2159-8290.cd-21-0276	gse142745	first	1
Livius Penter	10.1158/2159-8290.cd-21-0276	gse165087	first	1
Marcel A. Müller	10.1038/s41467-021-24007-w	gse148729	last	80
Markus Morkel	10.15252/emmm.202114123	gse166555	last	9
Markus Ralser	10.1038/s41467-022-31492-0	up000005640	last	6
Markus Ralser	10.1038/s41592-019-0638-x	pxd010529	last	1
Markus Schick	10.1038/s41467-021-27704-8	gse44672	first	3
Martin Witzenrath	10.1038/s41467-021-25030-7	gse162208	last	2
Matthew L. Kraushar	10.1016/j.molcel.2020.11.037	6swa	first	1
Matthew L. Kraushar	10.1016/j.molcel.2020.11.037	nm_011119	first	4
Mihnea P. Dragomir	10.1172/jci158348	e-tabm-713	first	1
Münevver Demir	10.1111/jgh.15071	prjna540738	first	1
Mykola Kadobianskyi	10.1038/s41597-019-0161-z	srma00000000	first	1
Ningfei Li	10.1016/j.biopsych.2021.04.006	10.7910/dvn/25833	first	1
Rogier Versteeg	10.1158/0008-5472.can-21-1621	gse28019	last	9
Rogier Versteeg	10.1158/0008-5472.can-21-1621	gse90805	last	3
Rogier Versteeg	10.1158/0008-5472.can-21-1621	gse99933	last	4
Seija Lehnardt	10.3390/cells9010186	gse138532	last	1
Simone Schmid	10.1007/s00401-021-02377-1	gse185041	first	1
Soyoung Lee	10.1038/s41586-021-03995-1	10.6084/m9.figshare.12436517	first	1
Spielmann Malte	10.1242/dev.201228	10.17863/cam.87955	last	1
Stefanos A. Bamopoulos	10.1038/s41375-020-0839-4	gse146173	first	8
Sven Liebig	10.1038/s41598-023-27792-0	gse78132	first	1
Thomas Häupl	10.1038/s41598-020-64431-4	gse38351	last	8
Thomas Häupl	10.1038/s41598-020-64431-4	gse51997	last	6
Thomas Häupl	10.1038/s41598-020-64431-4	gse55235	last	120
Thomas Häupl	10.1038/s41598-020-64431-4	gse58173	last	1
Thomas Wallach	10.3390/cells9010186	gse138532	first	1
Ulrich Keller	10.1038/s41467-021-27704-8	gse44672	last	3
Vadim Demichev	10.1038/s41467-022-31492-0	up000005640	first	6
Vassily Trubetskoy	10.1038/s41467-020-20603-4	gse140686	first	2
Walter Birchmeier	10.1038/s41467-020-14700-7	gse66270	last	20
Walter Birchmeier	10.1038/s41467-020-14700-7	gse66271	last	8
