charite_doi,reusing_paper_doi,publication_year,authors,publication_year_reusing,authors_reusing
10.1038/s41597-019-0129-z,10.1038/s41467-023-39916-1,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2023,Amy Howard;István N. Huszár;Adele Smart;Michiel Cottaar;Greg Daubney;Taylor Hanayik;Alexandre A. Khrapitchev;Rogier B. Mars;Jeroen Mollink;Connor Scott;Nicola R. Sibson;Jérôme Sallet;Saâd Jbabdi;Karla L. Miller
10.1038/s41597-019-0129-z,10.1038/s41467-023-43971-z,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2023,Alessandra Griffa;Mathieu Mach;Julien Dedelley;Daniel Gutierrez‐Barragan;Alessandro Gozzi;Gilles Allali;Joanes Grandjean;Dimitri Van De Ville;Enrico Amico
10.1038/s41597-019-0129-z,10.1038/s41593-022-01070-0 ,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,NA,Luppi_manual
10.1038/s41597-019-0129-z,10.1073/pnas.1916646117,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2020,Rabiya Noori;Daniel Park;John D. Griffiths;Sonya Bells;Paul W. Frankland;Donald Mabbott;Jérémie Lefebvre
10.1038/s41597-019-0129-z,10.1038/s41467-024-46382-w,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2024,Andrea I. Luppi;Lynn Uhrig;Jordy Tasserie;Camilo Miguel Signorelli;Emmanuel A. Stamatakis;Alain Destexhe;Béchir Jarraya;Rodrigo Cofré
10.1038/s41597-019-0129-z,10.1016/j.neuroimage.2022.118973,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2022,Michael Schirner;Lia Domide;Dionysios Perdikis;Paul Triebkorn;Leon Stefanovski;Roopa Pai;Paula Prodan;Bogdan Valean;Jessica Palmer;Chloê Langford;André Blickensdörfer;Michiel van der Vlag;Sandra Diaz-Pier;Alexander Peyser;Wouter Klijn;D. Pleiter;Anne Nahm;Oliver Schmid;Marmaduke Woodman;Lyuba Zehl;J. Fousek;Spase Petkoski;Lionel Kusch;Meysam Hashemi;Daniele Marinazzo;Jean‐François Mangin;Agnes Flöel;Simisola Akintoye;Bernd Carsten Stahl;Michael Cepic;Emily L. Johnson;Gustavo Deco;Anthony R. McIntosh;Claus C. Hilgetag;Marc Morgan;Bernd Schuller;Alex Upton;Colin McMurtrie;Timo Dickscheid;Jan G. Bjaalie;Katrin Amunts;Jochen Mersmann;Viktor Jirsa;Petra Ritter
10.1038/s41597-019-0129-z,10.7554/elife.67600,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2021,Luqi Cheng;Yuanchao Zhang;Gang Li;Jiaojian Wang;Chet C. Sherwood;Gaolang Gong;Lingzhong Fan;Tianzi Jiang
10.1038/s41597-019-0129-z,10.1073/pnas.2117234119,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2022,Yusi Chen;Burke Q. Rosen;Terrence J. Sejnowski
10.1038/s41597-019-0129-z,10.3390/app14031063,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2024,Maria Sacha;Jennifer S. Goldman;Lionel Kusch;Alain Destexhe
10.1038/s41597-019-0129-z,10.1523/eneuro.0475-20.2021,2019,Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh,2021,Lucas Arbabyazd;Kelly Shen;Zheng Wang;Martin Hofmann‐Apitius;Petra Ritter;Anthony R. McIntosh;Demian Battaglia;Viktor Jirsa
