doi_charite,charite_data_id_or_acc_nr,charite_id_year,comments
10.1038/s41386-023-01588-2,//osf.io/8mbru,2017,
10.1002/eji.202048797,gse160097,2020,
10.1007/s00401-020-02250-7,gse70678,2016,
10.1038/s41467-023-36120-z,10.5061/dryad.kd51c5b9b,2022,
10.1038/s41467-021-23807-4,10.5281/zenodo.3478502,2019,
10.1038/s41467-020-20850-5,10.5281/zenodo.3992607,2020,
10.1136/bmjopen-2021-053096,10.5281/zenodo.4669937,2021,
10.1038/s41586-020-2882-8,gse125521,2020,
10.1038/s41592-020-0965-y,gse142696,2019,
10.1038/s41596-019-0251-6,gse109381,2018,
10.1038/s41596-020-0369-6,gse88826,2017,
10.1186/s12874-023-01991-9,10.5281/zenodo.4669937,2021,
10.1038/s41598-020-64431-4,gse55235,2014,
10.1038/s41586-021-03995-1,10.6084/m9.figshare.12436517,2020,
10.3389/fimmu.2020.00179,3czf,2009,deposited 2008
10.1016/j.molcel.2020.11.037,6swa,2020,deposited 2019
10.1136/gutjnl-2020-321016,gse73338,2015,
10.1126/science.abb3405,6y2e,2020,
10.1016/j.chom.2021.04.005,7lm8,2021,
10.1038/s41467-021-25728-8,egad00001001306,2015,
10.1007/s00406-023-01593-y,egad00001002729,2016,
10.1093/jnci/djad001,egad00001003139,2017,
10.1016/j.ebiom.2023.104583,egad00001007035,2021,couldn't find a year: https://ega-archive.org/datasets/EGAD00001007035
10.1126/science.abh1139,emd-23466,2021,
10.1016/j.celrep.2021.109878,e-mtab-10389,2021,
10.1073/pnas.2206324120,e-mtab-862,2012,
10.1016/j.isci.2021.102618,e-mtab-8924,2021,
10.1038/s41375-020-0839-4,gse146173,2020,
10.1016/j.stem.2020.11.015,e-mtab-9067,2020,
10.3389/fimmu.2020.586124,e-mtab-9642,2020,
10.1038/s41596-020-0333-5,gse142696,2019,
10.3390/cancers13235978,e-mtab-9701,2022,
10.1038/s41540-023-00287-4,e-mtab-9701,2022,
10.3389/fmed.2021.664045,e-mtab-9850,2021,
10.3390/cells10092253,e-mtab-9850,2021,
10.1038/s41556-021-00708-8,e-mtab-9850,2021,
10.1172/jci158348,e-tabm-713,2009,
10.1111/ajt.16161,gse124203,2019,
10.3390/cells9010186,gse138532,2020,
10.1038/s41598-019-57108-0,gse94916,2018,
10.1038/s41586-021-03767-x,gcst011074,2020,
10.3390/cancers13225680,gse111079,2019,
10.1126/sciimmunol.abg3533,gse118174,2020,
10.1038/s41598-021-02011-w,gse119025,2018,
10.1136/gutjnl-2018-317856,gse119423,2019,
10.1002/1878-0261.12835,gse119423,2019,
10.1038/s41586-021-03583-3,gse122505,2019,
10.1073/pnas.2008883117,gse123593,2020,
10.1136/jitc-2020-002226,gse175699,2021,
10.1038/s41598-019-56994-8,gse124719,2020,
10.1158/0008-5472.can-19-1493,gse126033,2019,
10.1182/bloodadvances.2020003230,gse158596,2021,
10.1093/nar/gkz1238,gse131255,2020,
10.15252/emmm.202013191,gse156544,2021,
10.15252/emmm.202013659,gse153105,2021,
10.15252/emmm.202114123,gse166555,2021,
10.1038/s41467-020-16464-6,gse140133,2020,
10.3389/fonc.2021.647737,gse155945,2021,
10.3390/ijms21217944,gse143796,2020,
10.1126/sciimmunol.abh0891,gse148163,2021,
10.1038/s41586-021-04116-8,gse159986,2020,
10.15252/embj.2020105123,gse160845,2021,
10.15252/embr.202255363,gse167382,2022,
10.1111/nan.12741,gse168808,2021,
10.1002/glia.24274,gse172284,2022,
10.1016/j.dib.2021.107320,gse173610,2021,
10.1016/j.nbd.2021.105391,gse173610,2021,
10.3389/fonc.2020.00599,gse70458,2019,
10.1038/s41467-021-21994-8,gse63197,2014,
10.1038/s41467-020-16009-x,gse77534,2016,
10.1007/s00401-021-02377-1,gse185041,2021,
10.1038/s41556-020-00619-0,gse87076,2019,
10.1016/j.isci.2021.102151,gse148729,2020,
10.3389/fphar.2021.640572,gse88710,2017,
10.1038/s41590-020-00817-w,gse150305,2020,
10.3390/ijms22168872,gse88710,2017,
10.1038/s41587-021-00927-2,gse156478,2020,
10.1186/s13041-020-00685-3,gse88723,2017,
10.1038/s41467-020-20603-4,gse140686,2020,
10.1038/s41467-021-25403-y,gse58211,2014,
10.3324/haematol.2019.235291,gse98946,2017,
10.1111/tpj.16601,gse99427,2017,
10.1038/s41586-020-2294-9,mt108784,2020,"Not sure. I see two dates here (2020, 2022) https://www.ncbi.nlm.nih.gov/nuccore/MT108784"
10.3201/eid2707.204660,mt108784,2020,"Not sure. I see two dates here (2020, 2022) https://www.ncbi.nlm.nih.gov/nuccore/MT108784"
10.1016/j.lfs.2021.119158,gse94916,2018,
10.1016/j.stem.2021.03.017,gse151333,2020,
10.1038/s41586-021-04342-0,mt108784,2020,"Not sure. I see two dates here (2020, 2022) https://www.ncbi.nlm.nih.gov/nuccore/MT108784"
10.3201/eid2612.200708,mt123530,2020,Not sure. https://www.ncbi.nlm.nih.gov/nuccore/mt123530
10.1016/j.ajhg.2023.10.007,nm_007126.5,2024,Not sure. https://www.ncbi.nlm.nih.gov/nuccore/nm_007126.5
10.1111/cge.13977,nm_013275,2024,Not sure. https://www.ncbi.nlm.nih.gov/nuccore/NM_013275
10.1038/s41598-020-66334-w,phs000090,2023,"The data for this study accession is included as a substudy of parent study, phs000280.v8.p2 which was released in 2023 (AC)"
10.1038/s41588-021-00973-1,phs000101,2011,
10.15252/embj.2019104296,gse158743,2020,
10.3390/cancers13081807,phs000124,2011,
10.1038/s41467-021-24007-w,gse148729,2020,
10.1038/s41467-021-25030-7,gse162208,2020,
10.1038/s41588-023-01561-1,phs000235,2021,
10.1186/s13058-020-01379-3,gse89888,2017,
10.1038/s41467-021-25403-y,phs000922,2015,
10.1038/s41467-020-18367-y,phs000930,2021,
10.1158/1055-9965.epi-20-0714,phs001078,2018,
10.1038/s41594-020-00539-5,gse94452,2018,
10.1016/j.xhgg.2022.100166,phs001168,2018,
10.1038/s41588-021-00857-4,phs001254,2023,Not sure. https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/collection.cgi?study_id=phs001254.v1.p1
10.1186/s13073-023-01173-8,phs002245,2020,
10.7554/elife.51243,prjeb2600,2012,
10.1242/bio.044222,prjeb27665,2018,
10.1136/jitc-2021-002844,prjeb35507,2020,
10.1038/s41586-020-2269-x,prjeb37249,2020,
10.1038/s41564-023-01352-8,gse200596,2022,
10.1182/bloodadvances.2022007714,gse122467,2019,
10.1038/s41467-023-40584-4,gse19784,2010,
10.1038/s41467-020-19589-w,prjeb37249,2020,
10.1016/j.celrep.2020.107764,prjeb38063,2020,
10.1186/s13059-021-02397-w,prjeb38096,2020,
10.1038/s41467-023-41074-3,prjeb39631,2023,
10.1038/s41586-021-04177-9,prjeb41311,2021,
10.1016/j.bpsgos.2022.01.009,prjeb41786,2022,
10.1016/j.bpsgos.2022.01.009,prjeb41787,2022,
10.1053/j.gastro.2020.07.005,prjna540738,2020,
10.1111/jgh.15071,prjna540738,2020,
10.1016/j.celrep.2020.108117,prjna579336,2020,
10.1002/hep.32776,gse132662,2019,
10.1038/s41467-020-19452-y,prjna622577,2020,
10.1534/g3.120.401537,prjna632985,2020,
10.1172/jci139076,pxd014260,2021,"took the earliest ""annouced"" date"
10.1038/s41597-020-0487-6,pxd016782,2020,"took the earliest ""annouced"" date"
10.1038/s41467-021-26061-w,pxd018345,2021,"took the earliest ""annouced"" date"
10.1002/eji.202250162,gse160097,2020,
10.1038/s41598-023-27792-0,gse78132,2016,
10.1016/j.neo.2023.100934,gse14764,2009,
10.1016/j.jbc.2021.101224,pxd027109,2022,"took the earliest ""annouced"" date"
10.1192/bjp.2023.107,10.15154/1519007,,couldn't find a year
10.1016/j.biopsych.2021.04.006,10.7910/dvn/25833,2014,
10.1038/s41467-023-39253-3,gcst009541,2020,
10.1172/jci169225,gse154775,2020,
10.1038/s41467-023-38044-0,gse21687,2010,
10.1038/s41467-023-38044-0,gse64415,2015,
10.1038/s41588-023-01422-x,phs000431,2015,
10.1038/s41591-023-02397-2,phs000974,2016,
10.1038/s41467-023-39253-3,phs001672,2020,
10.1158/2643-3230.bcd-19-0059,srr12801265,,couldn't find the dataset
