"doi_datastet_and_added","dataset_for_matching"
"10.1002/hbm.26097","10.18112/openneuro.ds000030"
"10.1186/s13613-023-01201-1","10.5281/zenodo.6063905"
"10.3389/fphar.2021.826112","2jm4"
"10.1016/j.molcel.2020.11.037","2v6c"
"10.1016/j.bbalip.2021.158918","3o8y"
"10.3390/ijms22041560","3w3m"
"10.1080/22221751.2020.1713705","4l72"
"10.1016/j.bbalip.2021.158918","4nre"
"10.1080/22221751.2020.1713705","4pv7"
"10.1038/s41587-021-01089-x","5meq"
"10.1002/ajmg.a.62610","6agf"
"10.1093/nar/gkac1008","6lu7"
"10.1038/s41586-020-2882-8","gpl14550"
"10.1038/s41586-020-2882-8","gse47460"
"10.1186/s13073-023-01215-1","7jm7"
"10.3201/eid2707.204660","mn908947"
"10.3390/ijms22041560","r848"
"10.1038/s41467-021-27704-8","10.5"
"10.1038/s41593-022-01042-4","10.15154/1519007"
"10.1371/journal.pone.0241497","10.17632/83rthbp8ys"
"10.1038/s41398-023-02705-x","10.17863/cam.23511"
"10.1242/dev.201228","10.17863/cam.87955"
"10.1038/s41467-021-23807-4","10.5061/dryad.8t8s248"
"10.1038/s41467-022-32775-2","10.5061/dryad.d9v38"
"10.1038/s41467-023-40068-5","10.5061/dryad.v15dv41zp"
"10.1038/s41467-020-16929-8","10.5281/zenodo.2529950"
"10.1038/s41597-023-02377-8","10.57760/sciencedb.07860"
"10.1016/j.cortex.2021.08.002","10.6084/m9.figshare.915436"
"10.1016/j.nicl.2020.102536","10.6084/m9.figshare.915436"
"10.1186/s12879-022-07168-x","10.7802/1460"
"10.1007/s40200-023-01316-z","10.7802/1460"
"10.1038/s41467-023-40068-5","10.7937/tcia.2020.fqn0-0326"
"10.3389/fimmu.2020.00179","1k5n"
"10.3389/fimmu.2020.00179","1uxs"
"10.3389/fimmu.2020.00179","1uxw"
"10.3389/fimmu.2020.00179","2a83"
"10.3389/fimmu.2020.00179","5ib5"
"10.1126/science.abb3405","6y2f"
"10.1126/science.abb3405","6y2g"
"10.1126/science.abb3405","6y7m"
"10.1016/j.chom.2021.04.005","7lm9"
"10.1172/jci157780","aa025017"
"10.1016/j.isci.2022.105040","aaas7948"
"10.1371/journal.pntd.0009787","ab086256"
"10.1186/s12974-022-02542-7","ab102505"
"10.1038/s41467-023-39934-z","ab108410"
"10.15252/emmm.202114123","ab108508"
"10.1038/s41467-021-22117-z","ab110413"
"10.3390/antiox12081646","ab118970"
"10.1038/s41467-023-37671-x","ab131366"
"10.1016/j.ccell.2021.08.008","ab150681"
"10.1038/s43587-023-00513-y","ab150681"
