"doi_charite","publication_year_charite","doi_dcc","publication_year_dcc","lag"
"10.1192/bjp.2023.107",2023,"10.1007/s11682-022-00665-2",2022,-1
"10.3389/fimmu.2020.00179",2020,"10.4049/jimmunol.1800683",2018,-2
"10.1038/s41467-021-25728-8",2021,"10.1038/nature24040",2017,-4
"10.1007/s00406-023-01593-y",2023,"10.1016/j.cell.2022.04.008",2022,-1
"10.1007/s00406-023-01593-y",2023,"10.1038/s41588-021-00877-0",2021,-2
"10.1007/s00406-023-01593-y",2023,"10.1371/journal.pgen.1007308",2018,-5
"10.1007/s00406-023-01593-y",2023,"10.1038/s41467-021-21952-4",2021,-2
"10.1007/s00406-023-01593-y",2023,"10.12688/wellcomeopenres.15396.2",2020,-3
"10.1007/s00406-023-01593-y",2023,"10.1016/j.xgen.2022.100134",2022,-1
"10.1007/s00406-023-01593-y",2023,"10.1038/s41598-018-36050-7",2018,-5
"10.1007/s00406-023-01593-y",2023,"10.1093/bioinformatics/btac637",2022,-1
"10.1007/s00406-023-01593-y",2023,"10.1038/s41467-021-23491-4",2021,-2
"10.1093/jnci/djad001",2023,"10.1038/s41467-021-24445-6",2021,-2
"10.1073/pnas.2206324120",2023,"10.1038/modpathol.2012.216",2013,-10
"10.1172/jci158348",2023,"10.1155/2014/594350",2014,-9
"10.1038/s41467-023-39253-3",2023,"10.3389/fcvm.2021.722154",2021,-2
"10.1038/s41467-023-39253-3",2023,"10.1002/jbmr.4287",2020,-3
"10.1038/s41467-023-39253-3",2023,"10.3389/fimmu.2022.1075400",2022,-1
"10.1038/s41596-019-0251-6",2020,"10.1186/s40478-019-0681-y",2019,-1
"10.1038/s41596-019-0251-6",2020,"10.1093/noajnl/vdz015",2019,-1
"10.1016/j.neo.2023.100934",2023,"10.1186/s13073-016-0319-7",2016,-7
"10.1016/j.neo.2023.100934",2023,"10.1038/cddis.2015.250",2015,-8
"10.1016/j.neo.2023.100934",2023,"10.3390/ijms221910817",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.3389/fonc.2022.1003512",2022,-1
"10.1016/j.neo.2023.100934",2023,"10.1038/s41389-020-00246-2",2020,-3
"10.1016/j.neo.2023.100934",2023,"10.3390/ijms21082824",2020,-3
"10.1016/j.neo.2023.100934",2023,"10.1038/s41598-021-86923-7",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.1186/s12943-020-1130-z",2020,-3
"10.1016/j.neo.2023.100934",2023,"10.3892/ol.2019.10934",2019,-4
"10.1016/j.neo.2023.100934",2023,"10.3389/fonc.2022.923508",2022,-1
"10.1016/j.neo.2023.100934",2023,"10.1002/advs.202105469",2022,-1
"10.1016/j.neo.2023.100934",2023,"10.18632/aging.103811",2020,-3
"10.1016/j.neo.2023.100934",2023,"10.2147/ott.s228678",2019,-4
"10.1016/j.neo.2023.100934",2023,"10.1186/s12885-022-10485-8",2022,-1
"10.1016/j.neo.2023.100934",2023,"10.3389/fgene.2022.958092",2022,-1
"10.1016/j.neo.2023.100934",2023,"10.3390/ijms232415994",2022,-1
"10.1016/j.neo.2023.100934",2023,"10.1371/journal.pone.0030269",2012,-11
"10.1016/j.neo.2023.100934",2023,"10.1038/s41416-020-01252-2",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.1186/1476-4598-13-241",2014,-9
"10.1016/j.neo.2023.100934",2023,"10.1186/s13073-016-0281-4",2016,-7
"10.1016/j.neo.2023.100934",2023,"10.3390/medicina57090933",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.1038/bjc.2013.687",2013,-10
"10.1016/j.neo.2023.100934",2023,"10.1186/s13048-015-0176-9",2015,-8
"10.1016/j.neo.2023.100934",2023,"10.1371/journal.pone.0149183",2016,-7
"10.1016/j.neo.2023.100934",2023,"10.1002/2211-5463.12881",2020,-3
"10.1016/j.neo.2023.100934",2023,"10.1111/jcmm.16327",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.1038/s41467-021-20893-2",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.1186/s12967-021-03123-7",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.1038/s41419-019-2050-y",2019,-4
"10.1016/j.neo.2023.100934",2023,"10.1038/s41698-022-00298-0",2022,-1
"10.1016/j.neo.2023.100934",2023,"10.1186/s12935-021-02155-9",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.3389/fcell.2021.794801",2022,-1
"10.1016/j.neo.2023.100934",2023,"10.1038/srep11432",2015,-8
"10.1016/j.neo.2023.100934",2023,"10.1186/s12967-022-03776-y",2022,-1
"10.1016/j.neo.2023.100934",2023,"10.18632/oncotarget.16523",2017,-6
"10.1016/j.neo.2023.100934",2023,"10.3389/fonc.2019.00557",2019,-4
"10.1016/j.neo.2023.100934",2023,"10.1186/1757-2215-7-53",2014,-9
"10.1016/j.neo.2023.100934",2023,"10.1111/jcmm.15601",2020,-3
"10.1016/j.neo.2023.100934",2023,"10.3389/fonc.2016.00213",2016,-7
"10.1016/j.neo.2023.100934",2023,"10.1186/s12859-019-2829-y",2019,-4
"10.1016/j.neo.2023.100934",2023,"10.1155/2022/7745675",2022,-1
"10.1016/j.neo.2023.100934",2023,"10.1186/s13048-019-0575-4",2019,-4
"10.1016/j.neo.2023.100934",2023,"10.1186/s13046-018-0854-8",2018,-5
"10.1016/j.neo.2023.100934",2023,"10.1186/s13059-016-0956-6",2016,-7
"10.1016/j.neo.2023.100934",2023,"10.3390/cancers11030337",2019,-4
"10.1016/j.neo.2023.100934",2023,"10.1038/onc.2014.277",2014,-9
"10.1016/j.neo.2023.100934",2023,"10.3389/fonc.2020.626555",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.1016/j.ebiom.2019.102602",2020,-3
"10.1016/j.neo.2023.100934",2023,"10.1155/2019/3614207",2019,-4
"10.1016/j.neo.2023.100934",2023,"10.3389/fcell.2021.653357",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.2147/cmar.s337873",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.1016/j.ebiom.2018.12.054",2018,-5
"10.1016/j.neo.2023.100934",2023,"10.1371/journal.pone.0167585",2016,-7
"10.1016/j.neo.2023.100934",2023,"10.3389/fgene.2020.00705",2020,-3
"10.1016/j.neo.2023.100934",2023,"10.3389/fgene.2022.823082",2022,-1
"10.1016/j.neo.2023.100934",2023,"10.3389/fbioe.2021.792911",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.3389/fimmu.2022.951582",2022,-1
"10.1016/j.neo.2023.100934",2023,"10.1002/ctm2.633",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.3892/ol.2020.11266",2020,-3
"10.1016/j.neo.2023.100934",2023,"10.3389/fphar.2020.00577",2020,-3
"10.1016/j.neo.2023.100934",2023,"10.1155/2022/6575534",2022,-1
"10.1016/j.neo.2023.100934",2023,"10.1080/21655979.2021.1973220",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.3390/ijms21072327",2020,-3
"10.1016/j.neo.2023.100934",2023,"10.3389/fgene.2021.678747",2021,-2
"10.1016/j.neo.2023.100934",2023,"10.7150/thno.48101",2020,-3
"10.1016/j.neo.2023.100934",2023,"10.15252/embr.202051981",2021,-2
"10.1016/j.isci.2021.102151",2021,"10.1016/j.chom.2020.12.009",2020,-1
"10.1016/j.isci.2021.102151",2021,"10.1016/j.gene.2020.145325",2020,-1
"10.1016/j.isci.2021.102151",2021,"10.1101/2020.06.01.127589",2020,-1
"10.1016/j.isci.2021.102151",2021,"10.1016/j.isci.2020.101526",2020,-1
"10.1016/j.isci.2021.102151",2021,"10.1016/j.stem.2020.10.004",2020,-1
"10.1016/j.isci.2021.102151",2021,"10.1128/msphere.00754-20",2020,-1
"10.1016/j.isci.2021.102151",2021,"10.3390/genes11111354",2020,-1
"10.1016/j.isci.2021.102151",2021,"10.3389/fimmu.2020.590870",2020,-1
"10.1016/j.isci.2021.102151",2021,"10.1093/bib/bbaa334",2020,-1
"10.1038/s41467-021-24007-w",2021,"10.1016/j.chom.2020.12.009",2020,-1
"10.1038/s41467-021-24007-w",2021,"10.1016/j.gene.2020.145325",2020,-1
"10.1038/s41467-021-24007-w",2021,"10.1101/2020.06.01.127589",2020,-1
"10.1038/s41467-021-24007-w",2021,"10.1016/j.isci.2020.101526",2020,-1
"10.1038/s41467-021-24007-w",2021,"10.1016/j.stem.2020.10.004",2020,-1
"10.1038/s41467-021-24007-w",2021,"10.1128/msphere.00754-20",2020,-1
"10.1038/s41467-021-24007-w",2021,"10.3390/genes11111354",2020,-1
"10.1038/s41467-021-24007-w",2021,"10.3389/fimmu.2020.590870",2020,-1
"10.1038/s41467-021-24007-w",2021,"10.1093/bib/bbaa334",2020,-1
"10.1172/jci169225",2023,"10.3390/pharmaceutics14010044",2021,-2
"10.1038/s41467-023-40584-4",2023,"10.1038/s41698-021-00185-0",2021,-2
"10.1038/s41467-023-40584-4",2023,"10.1038/s41392-021-00746-6",2021,-2
"10.1038/s41467-023-40584-4",2023,"10.3389/fcell.2022.879057",2022,-1
"10.1038/s41467-023-40584-4",2023,"10.1038/s41467-018-05348-5",2018,-5
"10.1038/s41467-023-40584-4",2023,"10.1038/bcj.2017.56",2017,-6
"10.1038/s41467-023-40584-4",2023,"10.3389/fonc.2018.00615",2019,-4
"10.1038/s41467-023-40584-4",2023,"10.1038/leu.2016.370",2016,-7
"10.1038/s41467-023-40584-4",2023,"10.18632/oncotarget.4769",2015,-8
"10.1038/s41467-023-40584-4",2023,"10.1038/leu.2017.144",2017,-6
"10.1038/s41467-023-40584-4",2023,"10.1016/j.apsb.2022.01.015",2022,-1
"10.1038/s41467-023-40584-4",2023,"10.1371/journal.pone.0058809",2013,-10
"10.1038/s41467-023-40584-4",2023,"10.1038/s41417-018-0070-x",2019,-4
"10.1038/s41467-023-40584-4",2023,"10.3389/fonc.2021.694331",2021,-2
"10.1038/s41467-023-40584-4",2023,"10.1371/journal.pone.0020226",2011,-12
"10.1038/s41467-023-40584-4",2023,"10.37349/etat.2021.00034",2021,-2
"10.1038/s41467-023-40584-4",2023,"10.1186/s13046-022-02276-7",2022,-1
"10.1038/s41467-023-40584-4",2023,"10.7150/jca.34465",2019,-4
"10.1038/s41467-023-40584-4",2023,"10.1038/leu.2016.258",2016,-7
"10.1038/s41467-023-40584-4",2023,"10.1038/ncomms8213",2015,-8
"10.1038/s41467-023-40584-4",2023,"10.3109/10428194.2014.911863",2014,-9
"10.1038/s41467-023-40584-4",2023,"10.1371/journal.pone.0196780",2018,-5
"10.1038/s41467-023-40584-4",2023,"10.1371/journal.pone.0046331",2012,-11
"10.1038/s41467-023-40584-4",2023,"10.1186/s12943-021-01380-0",2021,-2
"10.1038/s41467-023-40584-4",2023,"10.20517/cdr.2021.83",2021,-2
"10.1038/s41467-023-40584-4",2023,"10.1038/s41419-019-1854-0",2019,-4
"10.1038/s41467-023-40584-4",2023,"10.1038/leu.2013.233",2013,-10
