"doi_dcc","charite_data_id_or_acc_nr","publication_year_dcc","dataset_publication_year","lag"
"10.1038/sj.bjc.6605330","nm_013275",2009,2024,-15
"10.1186/s13023-017-0736-8","nm_013275",2017,2024,-7
"10.1093/hmg/ddac289","nm_013275",2022,2024,-2
"10.1186/s13073-021-00971-2","phs000090",2021,2023,-2
"10.1371/journal.pone.0078546","phs000090",2014,2023,-9
"10.1371/journal.pone.0173784","phs000090",2017,2023,-6
"10.3389/fgene.2021.654804","phs000090",2021,2023,-2
"10.1186/2047-217x-3-10","phs000090",2014,2023,-9
"10.1038/s41467-018-04191-y","phs000090",2018,2023,-5
"10.3389/fgene.2022.791920","phs000090",2022,2023,-1
"10.1038/s41467-019-10128-w","phs000090",2019,2023,-4
"10.1161/jaha.119.015661","phs000090",2020,2023,-3
"10.1186/s12920-020-00760-7","phs000090",2020,2023,-3
"10.1038/s41598-019-41362-3","phs000090",2019,2023,-4
"10.3389/fendo.2022.881633","phs000090",2022,2023,-1
"10.1371/journal.pone.0071203","phs000090",2013,2023,-10
"10.1161/jaha.116.004739","phs000090",2017,2023,-6
"10.1038/mp.2015.205","phs000090",2016,2023,-7
"10.3389/fgene.2015.00324","phs000090",2015,2023,-8
"10.1038/s41562-017-0195-1","phs000090",2017,2023,-6
"10.1038/s41467-019-12653-0","phs000090",2019,2023,-4
"10.1038/s41467-020-19265-z","phs000090",2020,2023,-3
"10.1038/srep32894","phs000090",2016,2023,-7
"10.1371/journal.pgen.1004269","phs000090",2014,2023,-9
"10.1371/annotation/21033005-e120-4364-8024-c6534b4108f6","phs000090",2013,2023,-10
"10.1177/1179551417748942","phs000090",2018,2023,-5
"10.1186/s13075-018-1558-3","phs000090",2018,2023,-5
"10.1371/journal.pone.0125497","phs000090",2015,2023,-8
"10.1038/s41467-017-02769-6","phs000090",2018,2023,-5
"10.1186/s12864-015-1645-7","phs000090",2015,2023,-8
"10.1038/gim.2012.164","phs000090",2012,2023,-11
"10.1371/journal.pone.0087257","phs000090",2014,2023,-9
"10.1038/s41598-017-15864-x","phs000090",2017,2023,-6
"10.1038/s41598-021-83450-3","phs000090",2021,2023,-2
"10.1186/s13073-015-0230-7","phs000235",2015,2021,-6
"10.1038/s41598-020-69884-1","phs000235",2020,2021,-1
"10.1093/bioinformatics/bts053","phs000235",2012,2021,-9
"10.1038/nature10351","phs000235",2011,2021,-10
"10.1038/srep23226","phs000235",2016,2021,-5
"10.1038/s41588-020-0673-7","phs000235",2020,2021,-1
"10.1371/journal.pone.0073956","phs000235",2013,2021,-8
"10.3390/ncrna5030047","phs000235",2019,2021,-2
"10.1038/s41467-020-15932-3","phs000930",2020,2021,-1
"10.1002/ijc.32988","phs000930",2020,2021,-1
"10.1161/jaha.117.008160","phs000930",2018,2021,-3
"10.1016/j.ijcard.2020.03.053","phs000930",2020,2021,-1
"10.1038/s41467-019-09480-8","phs001672",2019,2020,-1
"10.1128/msphere.00464-20","pxd018345",2020,2021,-1
"10.1128/msphere.00463-20","pxd018345",2020,2021,-1
