"doi_dcc","doi_charite","publication_year_dcc","publication_year_charite","charite_data_id_or_acc_nr","dataset_publication_year"
"10.1038/modpathol.2012.216","10.1073/pnas.2206324120",2013,2023,"e-mtab-862",2012
"10.1155/2014/594350","10.1172/jci158348",2014,2023,"e-tabm-713",2009
"10.1186/s13073-016-0319-7","10.1016/j.neo.2023.100934",2016,2023,"gse14764",2009
"10.1038/cddis.2015.250","10.1016/j.neo.2023.100934",2015,2023,"gse14764",2009
"10.1371/journal.pone.0030269","10.1016/j.neo.2023.100934",2012,2023,"gse14764",2009
"10.1186/1476-4598-13-241","10.1016/j.neo.2023.100934",2014,2023,"gse14764",2009
"10.1186/s13073-016-0281-4","10.1016/j.neo.2023.100934",2016,2023,"gse14764",2009
"10.1038/bjc.2013.687","10.1016/j.neo.2023.100934",2013,2023,"gse14764",2009
"10.1186/s13048-015-0176-9","10.1016/j.neo.2023.100934",2015,2023,"gse14764",2009
"10.1371/journal.pone.0149183","10.1016/j.neo.2023.100934",2016,2023,"gse14764",2009
"10.1038/srep11432","10.1016/j.neo.2023.100934",2015,2023,"gse14764",2009
"10.1186/1757-2215-7-53","10.1016/j.neo.2023.100934",2014,2023,"gse14764",2009
"10.3389/fonc.2016.00213","10.1016/j.neo.2023.100934",2016,2023,"gse14764",2009
"10.1186/s13059-016-0956-6","10.1016/j.neo.2023.100934",2016,2023,"gse14764",2009
"10.1038/onc.2014.277","10.1016/j.neo.2023.100934",2014,2023,"gse14764",2009
"10.1371/journal.pone.0167585","10.1016/j.neo.2023.100934",2016,2023,"gse14764",2009
"10.1038/leu.2016.370","10.1038/s41467-023-40584-4",2016,2023,"gse19784",2010
"10.18632/oncotarget.4769","10.1038/s41467-023-40584-4",2015,2023,"gse19784",2010
"10.1371/journal.pone.0058809","10.1038/s41467-023-40584-4",2013,2023,"gse19784",2010
"10.1371/journal.pone.0020226","10.1038/s41467-023-40584-4",2011,2023,"gse19784",2010
"10.1038/leu.2016.258","10.1038/s41467-023-40584-4",2016,2023,"gse19784",2010
"10.1038/ncomms8213","10.1038/s41467-023-40584-4",2015,2023,"gse19784",2010
"10.3109/10428194.2014.911863","10.1038/s41467-023-40584-4",2014,2023,"gse19784",2010
"10.1371/journal.pone.0046331","10.1038/s41467-023-40584-4",2012,2023,"gse19784",2010
"10.1038/leu.2013.233","10.1038/s41467-023-40584-4",2013,2023,"gse19784",2010
"10.1007/s00401-011-0904-1","10.1038/s41467-023-38044-0",2011,2023,"gse21687",2010
"10.1007/s11060-010-0509-x","10.1038/s41467-023-38044-0",2010,2023,"gse21687",2010
"10.1371/journal.pcbi.1003148","10.1038/s41467-023-38044-0",2013,2023,"gse21687",2010
"10.18632/oncotarget.3083","10.1038/s41467-023-38044-0",2014,2023,"gse21687",2010
"10.1186/s13059-016-0948-6","10.1038/s41598-020-64431-4",2016,2020,"gse55235",2014
"10.1371/journal.pone.0164542","10.1038/s41598-020-64431-4",2016,2020,"gse55235",2014
"10.6026/97320630011207","10.1038/s41598-020-64431-4",2015,2020,"gse55235",2014
"10.18632/oncotarget.7390","10.1038/s41598-020-64431-4",2016,2020,"gse55235",2014
"10.1371/journal.pone.0167212","10.1038/s41598-020-64431-4",2016,2020,"gse55235",2014
"10.1186/s12859-016-1065-y","10.1038/s41598-020-64431-4",2016,2020,"gse55235",2014
"10.1371/journal.pone.0161306","10.1038/s41598-020-64431-4",2016,2020,"gse55235",2014
"10.1038/sj.bjc.6605330","10.1111/cge.13977",2009,2021,"nm_013275",2024
"10.1371/journal.pone.0078546","10.1038/s41598-020-66334-w",2014,2020,"phs000090",2023
"10.1186/2047-217x-3-10","10.1038/s41598-020-66334-w",2014,2020,"phs000090",2023
"10.1371/journal.pone.0071203","10.1038/s41598-020-66334-w",2013,2020,"phs000090",2023
"10.1038/mp.2015.205","10.1038/s41598-020-66334-w",2016,2020,"phs000090",2023
"10.3389/fgene.2015.00324","10.1038/s41598-020-66334-w",2015,2020,"phs000090",2023
"10.1038/srep32894","10.1038/s41598-020-66334-w",2016,2020,"phs000090",2023
"10.1371/journal.pgen.1004269","10.1038/s41598-020-66334-w",2014,2020,"phs000090",2023
"10.1371/annotation/21033005-e120-4364-8024-c6534b4108f6","10.1038/s41598-020-66334-w",2013,2020,"phs000090",2023
"10.1371/journal.pone.0125497","10.1038/s41598-020-66334-w",2015,2020,"phs000090",2023
"10.1186/s12864-015-1645-7","10.1038/s41598-020-66334-w",2015,2020,"phs000090",2023
"10.1038/gim.2012.164","10.1038/s41598-020-66334-w",2012,2020,"phs000090",2023
"10.1371/journal.pone.0087257","10.1038/s41598-020-66334-w",2014,2020,"phs000090",2023
"10.3389/fgene.2015.00030","10.1038/s41588-021-00973-1",2015,2021,"phs000101",2011
"10.1186/s12864-016-2725-z","10.1038/s41588-021-00973-1",2016,2021,"phs000101",2011
"10.1186/s13073-015-0230-7","10.1038/s41588-023-01561-1",2015,2023,"phs000235",2021
"10.1093/bioinformatics/bts053","10.1038/s41588-023-01561-1",2012,2023,"phs000235",2021
"10.1038/nature10351","10.1038/s41588-023-01561-1",2011,2023,"phs000235",2021
"10.1038/srep23226","10.1038/s41588-023-01561-1",2016,2023,"phs000235",2021
"10.1371/journal.pone.0073956","10.1038/s41588-023-01561-1",2013,2023,"phs000235",2021
