doi_dcc;charite_data_id_or_acc_nr;publication_year_dcc;dataset_publication_year;earliest_dataset_publication_year;dataset_version_used;lag;
10.1186/s13073-021-00971-2;phs000090;2021;unknown;1987;phs000090.v2.p1;;
10.1371/journal.pone.0078546;phs000090;2014;unknown;1987;phs000090.v1.p1;;
10.1371/journal.pone.0173784;phs000090;2017;unknown;1987;phs000090.v2.p1;;
10.3389/fgene.2021.654804;phs000090;2021;unknown;1987;phs000090.v4.p1;;
10.1186/2047-217x-3-10;phs000090;2014;unknown;1987;not specified;;
10.1038/s41467-018-04191-y;phs000090;2018;unknown;1987;phs000090.v4.p1;;
10.3389/fgene.2022.791920;phs000090;2022;unknown;1987;phs000090.v4.p1;;
10.1038/s41467-019-10128-w;phs000090;2019;unknown;1987;not checked;;
10.1161/jaha.119.015661;phs000090;2020;unknown;1987;not checked;;
10.1186/s12920-020-00760-7;phs000090;2020;unknown;1987;not checked;;
10.1038/s41598-019-41362-3;phs000090;2019;unknown;1987;not checked;;
10.3389/fendo.2022.881633;phs000090;2022;unknown;1987;not checked;;
10.1371/journal.pone.0071203;phs000090;2013;unknown;1987;not checked;;
10.1161/jaha.116.004739;phs000090;2017;unknown;1987;not checked;;
10.1038/mp.2015.205;phs000090;2016;unknown;1987;not checked;;
10.3389/fgene.2015.00324;phs000090;2015;unknown;1987;not checked;;
10.1038/s41562-017-0195-1;phs000090;2017;unknown;1987;not checked;;
10.1038/s41467-019-12653-0;phs000090;2019;unknown;1987;not checked;;
10.1038/s41467-020-19265-z;phs000090;2020;unknown;1987;not checked;;
10.1038/srep32894;phs000090;2016;unknown;1987;not checked;;
10.1371/journal.pgen.1004269;phs000090;2014;unknown;1987;not checked;;
10.1371/annotation/21033005-e120-4364-8024-c6534b4108f6;phs000090;2013;unknown;1987;not checked;;
10.1177/1179551417748942;phs000090;2018;unknown;1987;not checked;;
10.1186/s13075-018-1558-3;phs000090;2018;unknown;1987;not checked;;
10.1371/journal.pone.0125497;phs000090;2015;unknown;1987;not checked;;
10.1038/s41467-017-02769-6;phs000090;2018;unknown;1987;not checked;;
10.1186/s12864-015-1645-7;phs000090;2015;unknown;1987;not checked;;
10.1038/gim.2012.164;phs000090;2012;unknown;1987;not checked;;
10.1371/journal.pone.0087257;phs000090;2014;unknown;1987;not checked;;
10.1038/s41598-017-15864-x;phs000090;2017;unknown;1987;not checked;;
10.1038/s41598-021-83450-3;phs000090;2021;unknown;1987;not checked;;
10.1186/s13073-015-0230-7;phs000235;2015;unknown;1987;not checked;;
10.1038/s41598-020-69884-1;phs000235;2020;unknown;1987;not checked;;
10.1093/bioinformatics/bts053;phs000235;2012;unknown;1987;not checked;;
10.1038/nature10351;phs000235;2011;unknown;1987;not checked;;
10.1038/srep23226;phs000235;2016;unknown;1987;not checked;;
10.1038/s41588-020-0673-7;phs000235;2020;unknown;1987;not checked;;
10.1371/journal.pone.0073956;phs000235;2013;unknown;1987;not checked;;
10.3390/ncrna5030047;phs000235;2019;unknown;1987;not checked;;
10.1038/s41467-020-15932-3;phs000930;2020;unknown;1987;not checked;;
10.1002/ijc.32988;phs000930;2020;unknown;1987;not checked;;
10.1161/jaha.117.008160;phs000930;2018;unknown;1987;not checked;;
10.1016/j.ijcard.2020.03.053;phs000930;2020;unknown;1987;not checked;;
10.1038/s41467-019-09480-8;phs001672;2019;unknown;1987;not checked;;
10.1128/msphere.00464-20;pxd018345;2020;2021;2021;no versioning;;"dataset deposited 2020 but published 2021 - sequence is nt clear, it might be that the Charité authors privately announced the identifier to the reusing authors who already put it in the article; there are revisions of the data, but the data itself is not versioned"
10.1128/msphere.00463-20;pxd018345;2020;2021;2021;no versioning;;
