charite_data_id_or_acc_nr,covid-related? (1 = yes  0 = no),human data (1 = yes 0 = not human or metadata),from data artile (1 = yes),organism,organism 2,further notes
10.6084/m9.figshare.12436517,1,1,0,human,,
3czf,0,1,0,human,,
6swa,0,0,0,mouse,,
6y2e,1,0,0,virus,,
7lm8,1,0,0,virus,,
e-mtab-862,0,1,0,human,,
e-mtab-9067,0,1,0,human,,
e-mtab-9701,0,0,0,mouse,,
e-tabm-713,0,1,0,human,,
egad00001001306,0,1,0,human,,
egad00001002729,0,1,0,human,,
egad00001003139,0,1,0,human,,
gcst011074,1,1,0,human,,
gse109381,0,1,0,human,,
gse122467,0,0,0,mouse,,
gse124203,0,1,0,human,,
gse125521,0,0,0,mouse,,
gse132662,0,0,0,mouse,,
gse138532,0,0,0,mouse,,
gse140686,0,1,0,human,,
gse142696,0,1,0,human,,
gse146173,0,1,0,human,,
gse14764,0,1,0,human,,
gse148729,1,1,0,human,,
gse150305,0,1,0,human,,
gse151333,0,0,0,mouse,,
gse153105,0,1,0,mouse,,
gse155945,0,0,0,human,,
gse156478,0,1,0,human,mouse,
gse156544,1,1,0,human,,
gse158596,0,1,0,human,,
gse158743,0,1,0,human,,
gse160097,0,1,0,human,,
gse162208,1,0,0,Mesocricetus auratus (Syrian hamster),,
gse166555,0,1,0,human,,
gse175699,0,1,0,human,,
gse185041,0,1,0,human,,
gse19784,0,1,0,human,,
gse200596,1,0,0,Mesocricetus auratus (Syrian hamster),,
gse55235,0,1,0,human,,
gse58211,0,1,0,human,,
gse63197,0,1,0,human,,
gse70678,0,1,0,human,,
gse73338,0,1,0,human,,
gse78132,0,1,0,human,,
gse88826,0,1,0,human,,
gse89888,0,1,0,human,,
gse94452,0,0,0,mouse,,
gse94916,0,1,0,human,,
mt108784,0,0,0,synthetic construct,,
nm_007126.5,0,1,0,human,,
nm_013275,0,1,0,human,,
phs000090,0,1,0,human,,
phs000101,0,1,0,human,,
phs000124,0,1,0,human,,
phs000235,0,1,0,human,,
phs000930,0,1,0,human,,
phs001078,0,1,0,human,,
phs001168,0,1,0,human,,
prjeb2600,0,0,0,Leishmania donovani,,
prjeb37249,0,0,0,human intestinal microbiota,,
prjna540738,0,0,0,human intestinal microbiota,,
prjna579336,0,1,0,human,,
pxd018345,0,1,0,human,,
pxd027109,0,0,0,mouse,,
10.18112/openneuro.ds001875.v1.0.3,0,0,1,macaque,,
SRP136594,0,0,1,Danionella translucida,,
SRMA00000000,0,0,1,Danionella cerebrum,,
GHNV00000000,0,0,1,Danionella translucida,,
https://doi.org/10.6084/m9.figshare.c.4437488,0,0,1,Danionella translucida,,
10.5061/dryad.119f80q,0,1,1,human,,
10.18112/openneuro.ds002179.v1.1.0,0,1,1,human,,
10.6084/m9.figshare.c.4869732,0,1,1,human,,
https://zenodo.org/records/4059716,1,1,1,human,,epidemiology and course of COVID-19; public use file
PXD016782,0,1,1,human,,
10.17632/nr7cs764rc.1,0,1,1,human,,
https://physionet.org/content/ptb-xl/1.0.3/,0,1,1,human,,ECG
10.17632/fzcmhhjs76.3,0,1,1,human,,EEG and tACS
GSE173610,0,1,1,human,,
https://www.ebi.ac.uk/biosamples/samples/SAMEA103992835,,,1,these two need to be looked into further - they are not really datasets,,
https://www.ebi.ac.uk/biosamples/samples/SAMEA104012190,,,1,these two need to be looked into further - they are not really datasets,,
10.17632/mtd59df24s.2,1,1,1,human,,sociodemographics
https://doi.org/10.6084/m9.figshare.c.5222051,0,0,1,mouse,,
10.17632/wrhr5862cb.1,0,1,1,human,,PROMS
10.17605/OSF.IO/D34Y5,0,1,1,human,,rather linguistic than biomedical
https://github.com/emilywavery/Radiomics-data-sharing,0,1,1,human,,CT angiographic radiomics
10.17632/vfpxcbk5bx.4,0,1,1,human,,clinical
10.5281/zenodo.6481140,0,1,1,human,,prostate data
https://doi.org/10.3886/ICPSR36684.v4,0,1,1,human,,anatomy of lesions after stroke
https://github.com/npnl/ATLAS/,0,1,1,human,,anatomy of lesions after stroke
10.6019/CHEMBL4495565,1,0,1,African green monkey (cell line),,
https://doi.org/10.6084/m9.figshare.19316219.v1,1,0,1,African green monkey (cell line),,
https://doi.org/10.6084/m9.figshare.19298807.v2,1,0,1,African green monkey (cell line),,
https://doi.org/10.6084/m9.figshare.19255067.v3,1,0,1,African green monkey (cell line),,
https://napkon.de/statistik/,1,1,1,human,,is https://napkon.de/gecco/ the correct link? the link indicated is not functional - I should check what the article says
10.5281/zenodo.6576176,1,1,1,human,,epidemiology and couse of COVID-19; public use file
https://openneuro.org/datasets/ds001226,0,1,1,human,,brain tumor connectomics
https://openneuro.org/datasets/ds002080,0,1,1,human,,brain tumor connectomics
10.17605/OSF.IO/8MBRU,0,0,1,meta-data (from human studies),,signatures of altered brain states under different drugs
https://alteredstatesdb.org/,0,0,1,meta-data (from human studies),,signatures of altered brain states under different drugs
