"open_data_assessment","own_or_reuse_data","data_access","n"
"pharma_data","NULL","restricted",7
"pharma_data","NULL","NULL",5
"open_data","unsure","yes",16
"open_data","own_open_data","yes",1311
"open_data","own_open_data","unsure",4
"no_open_data","unsure","unsure",1
"no_open_data","unsure","NULL",13
"no_open_data","own_open_data","yes",90
"no_open_data","own_open_data","unsure",2
"no_open_data","own_open_data","no",1
"no_open_data","own_open_data","NULL",37
"no_open_data","NULL","not_uploaded",5
"no_open_data","NULL","not_persistent",30
"no_open_data","NULL","no",15
"no_open_data","NULL","NULL",947
"NULL","unsure","restricted",6
"NULL","own_open_data","restricted",19
"NULL","open_data_reuse","yes",196
"NULL","open_data_reuse","unsure",30
"NULL","open_data_reuse","reuse_access",135
"NULL","open_data_reuse","NULL",30
"NULL","NULL","reuse_access",1
"NULL","NULL","restricted",135
"NULL","NULL","NULL",87
