"unique_id","doi","doi_no_ver_info","data_id","data_id_auto_cleaned","data_id_no_ex_chr","data_id_m_val","data_id_merged","data_id_secondary","data_access","in_dashboard","source","listed_in_numbat_output","validated","Category","covid_related","human_data","dataset_is_doi","repository","in_dcc","data_availability_statement","charite_id_year","license"
461,"10.1371/journal.pmed.1004175","10.1371/journal.pmed.1004175","https://doi.org/10.17605/osf.io/26dgx","//osf.io/26dgx","//osf.io/26dgx","10.17605/osf.io/26dgx","10.17605/osf.io/26dgx",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE","yes",NA,"CC BY"
653,"10.1371/journal.pbio.3001783","10.1371/journal.pbio.3001783","https://doi.org/10.17605/osf.io/2c4wq","//osf.io/2c4wq","//osf.io/2c4wq","10.17605/osf.io/2c4wq","10.17605/osf.io/2c4wq",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE","yes",NA,"CC BY"
777,"10.1016/j.jpain.2021.12.015","10.1016/j.jpain.2021.12.015","https://osf.io/2nyt6/","//osf.io/2nyt6","//osf.io/2nyt6","10.17605/osf.io/2nyt6","10.17605/osf.io/2nyt6",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE","yes",NA,"CC BY"
487,"10.1371/journal.pone.0289203","10.1371/journal.pone.0289203","doi.org/10.17605/osf.io/2smz5","//osf.io/2smz5","//osf.io/2smz5","10.17605/osf.io/2smz5","10.17605/osf.io/2smz5",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE","yes",NA,"no license"
890,"10.1016/j.neuroimage.2022.119348","10.1016/j.neuroimage.2022.119348","https://osf.io/2vw6j/","//osf.io/2vw6j","//osf.io/2vw6j","10.17605/osf.io/2vw6j","10.17605/osf.io/2vw6j",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE","yes",NA,"no license"
845,"10.1016/j.neuroimage.2022.119754","10.1016/j.neuroimage.2022.119754","doi.org/10.17605/osf.io/3jk45","//osf.io/3jk45","//osf.io/3jk45","10.17605/osf.io/3jk45","10.17605/osf.io/3jk45",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE","yes",NA,"CC BY"
1458,"10.1038/s41598-021-85027-6","10.1038/s41598-021-85027-6","https://osf.io/3jq76?view_only=917a4a545f144ddd948c4ae6a3bcb2e5","//osf.io/3jq76","//osf.io/3jq76","10.17605/osf.io/3jq76","10.17605/osf.io/3jq76",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE",NA,NA,"CC BY"
1694,"10.3389/fpsyg.2021.734877","10.3389/fpsyg.2021.734877","https://osf.io/3u62p/","//osf.io/3u62p","//osf.io/3u62p","10.17605/osf.io/3u62p","10.17605/osf.io/3u62p",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE",NA,NA,"no license"
1990,"10.1523/eneuro.0537-19.2020","10.1523/eneuro.0537-19.2020","https://osf.io/3x95n/","//osf.io/3x95n","//osf.io/3x95n","10.17605/osf.io/3x95n","10.17605/osf.io/3x95n",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE",NA,NA,NA
1523,"10.1017/s2045796021000147","10.1017/s2045796021000147","https://osf.io/3xcdu/?view_only=957edc6293894497ba7aaf5bb8fc8205","//osf.io/3xcdu","//osf.io/3xcdu","10.17605/osf.io/3xcdu","10.17605/osf.io/3xcdu",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE",NA,NA,"no license"
2068,"10.1525/collabra.267","10.1525/collabra.267","https://osf.io/48fhe","//osf.io/48fhe","//osf.io/48fhe","10.17605/osf.io/48fhe","10.17605/osf.io/48fhe",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE",NA,NA,NA
458,"10.1162/jocn_a_02043","10.1162/jocn_a_02043","10.17605/osf.io/4fdky","//osf.io/4fdky","//osf.io/4fdky","10.17605/osf.io/4fdky","10.17605/osf.io/4fdky",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE","yes",NA,"CC BY"
1069,"10.3758/s13428-021-01739-7","10.3758/s13428-021-01739-7","https://osf.io/4ng3e/","//osf.io/4ng3e","//osf.io/4ng3e","10.17605/osf.io/4ng3e","10.17605/osf.io/4ng3e",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE","yes",NA,"CC BY"
392,"10.7717/peerj.15499","10.7717/peerj.15499","10.17605/osf.io/4p8hz","//osf.io/4p8hz","//osf.io/4p8hz","10.17605/osf.io/4p8hz","10.17605/osf.io/4p8hz",NA,"yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf","FALSE","yes",NA,"no license"
