"doi_charite","doi_lc","doi_no_ver_info","data_identifier","data_identifier_2nd_numbat_entry","data_id_lc","data_id_auto_cleaned","slug_charite","data_id_m_val","dataset_for_matching","data_id_secondary","detected_id","data_access","in_dashboard","source_charite","numbat_id_of_da_id","numbat_id_of_da_id_lc","listed_in_numbat_output","validated","Category","is_gen_rep","doi_id_orig_pair","doi_id_lc_pair_for_joining","doi_id_clean_pair","detected_in_numbat_originally_only_for_added","in_dcc","data_availability_statement","human_data","covid_related","charite_id_year","license","doi_id_lc_for_matching","is_detected_id_doi","das_for_analysis"
"10.1038/s41597-020-0495-6","10.1038/s41597-020-0495-6","10.1038/s41597-020-0495-6","https://doi.org/10.13026/x4td-x982",NA,"https://doi.org/10.13026/x4td-x982","10.13026/x4td-x982",NA,NA,"10.13026/x4td-x982",NA,"10.13026/x4td-x982","yes",TRUE,"data_articles","https://physionet.org/content/ptb-xl/1.0.1/","https://physionet.org/content/ptb-xl/1.0.1/",TRUE,"TRUE","doi","FALSE","10.1038/s41597-020-0495-6;https://doi.org/10.13026/x4td-x982","10.1038/s41597-020-0495-6;https://doi.org/10.13026/x4td-x982","10.1038/s41597-020-0495-6;10.13026/x4td-x982",NA,"TRUE",NA,"TRUE","FALSE","2020","CC-BY","10.1038/s41597-020-0495-6;10.13026/x4td-x982","TRUE",NA
"10.1158/0008-5472.CAN-21-1621","10.1158/0008-5472.can-21-1621","10.1158/0008-5472.can-21-1621","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90805",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse90805","gse90805",NA,NA,"gse90805",NA,"gse90805","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1158/0008-5472.CAN-21-1621;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90805","10.1158/0008-5472.CAN-21-1621;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse90805","10.1158/0008-5472.can-21-1621;gse90805",NA,"TRUE","TRUE","TRUE","FALSE","2017","FALSE","10.1158/0008-5472.can-21-1621;gse90805","FALSE","TRUE"
"10.1158/1055-9965.EPI-20-0714","10.1158/1055-9965.epi-20-0714","10.1158/1055-9965.epi-20-0714","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001078.v1.p1",NA,"https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001078.v1.p1","phs001078.v1.p1",NA,"phs001078","phs001078",NA,"phs001078","restricted",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1158/1055-9965.EPI-20-0714;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001078.v1.p1","10.1158/1055-9965.EPI-20-0714;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001078.v1.p1","10.1158/1055-9965.epi-20-0714;phs001078",NA,"TRUE","TRUE","TRUE","FALSE","2018","data use agreement","10.1158/1055-9965.epi-20-0714;phs001078","FALSE","TRUE"
"10.7554/eLife.51243","10.7554/elife.51243","10.7554/elife.51243","https://www.ebi.ac.uk/ena/data/view/PRJEB2600",NA,"https://www.ebi.ac.uk/ena/data/view/prjeb2600","prjeb2600",NA,NA,"prjeb2600","erp000767","prjeb2600","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.7554/eLife.51243;https://www.ebi.ac.uk/ena/data/view/PRJEB2600","10.7554/eLife.51243;https://www.ebi.ac.uk/ena/data/view/prjeb2600","10.7554/elife.51243;prjeb2600",NA,"TRUE","TRUE","FALSE","FALSE","2012","FALSE","10.7554/elife.51243;prjeb2600","FALSE","TRUE"
"10.1158/2643-3230.BCD-19-0059","10.1158/2643-3230.bcd-19-0059","10.1158/2643-3230.bcd-19-0059","https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR12801265",NA,"https://trace.ncbi.nlm.nih.gov/traces/sra/?run=srr12801265","srr12801265",NA,NA,"srr12801265","prjna668334 ","srr12801265","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1158/2643-3230.BCD-19-0059;https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR12801265","10.1158/2643-3230.BCD-19-0059;https://trace.ncbi.nlm.nih.gov/traces/sra/?run=srr12801265","10.1158/2643-3230.bcd-19-0059;srr12801265",NA,"TRUE","FALSE","FALSE","FALSE","2020","FALSE","10.1158/2643-3230.bcd-19-0059;srr12801265","FALSE","FALSE"
"10.1038/s41564-023-01352-8","10.1038/s41564-023-01352-8","10.1038/s41564-023-01352-8","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200596",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse200596","gse200596",NA,"","gse200596",NA,"gse200596","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41564-023-01352-8;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200596","10.1038/s41564-023-01352-8;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse200596","10.1038/s41564-023-01352-8;gse200596",NA,"TRUE","TRUE","FALSE","TRUE","2022","FALSE","10.1038/s41564-023-01352-8;gse200596","FALSE","TRUE"
"10.1182/bloodadvances.2022007714","10.1182/bloodadvances.2022007714","10.1182/bloodadvances.2022007714","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122467",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse122467","gse122467",NA,"","gse122467",NA,"gse122467","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1182/bloodadvances.2022007714;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122467","10.1182/bloodadvances.2022007714;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse122467","10.1182/bloodadvances.2022007714;gse122467",NA,"TRUE","no_statement_no_data","FALSE","FALSE","2019","FALSE","10.1182/bloodadvances.2022007714;gse122467","FALSE","no_statement_no_data"
"10.1172/jci158348","10.1172/jci158348","10.1172/jci158348","https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-TABM-713?query=E-TABM-713",NA,"https://www.ebi.ac.uk/biostudies/arrayexpress/studies/e-tabm-713?query=e-tabm-713","e-tabm-713",NA,"","e-tabm-713",NA,"e-tabm-713","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1172/jci158348;https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-TABM-713?query=E-TABM-713","10.1172/jci158348;https://www.ebi.ac.uk/biostudies/arrayexpress/studies/e-tabm-713?query=e-tabm-713","10.1172/jci158348;e-tabm-713",NA,"TRUE","TRUE","TRUE","FALSE","2009","FALSE","10.1172/jci158348;e-tabm-713","FALSE","TRUE"
"10.1093/jnci/djad001","10.1093/jnci/djad001","10.1093/jnci/djad001","https://ega-archive.org/datasets/EGAD00001003139",NA,"https://ega-archive.org/datasets/egad00001003139","egad00001003139",NA,"","egad00001003139",NA,"egad00001003139","restricted",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1093/jnci/djad001;https://ega-archive.org/datasets/EGAD00001003139","10.1093/jnci/djad001;https://ega-archive.org/datasets/egad00001003139","10.1093/jnci/djad001;egad00001003139",NA,"TRUE","TRUE","TRUE","FALSE","2017","FALSE","10.1093/jnci/djad001;egad00001003139","FALSE","TRUE"
"10.1073/pnas.2206324120","10.1073/pnas.2206324120","10.1073/pnas.2206324120","https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-862",NA,"https://www.ebi.ac.uk/biostudies/arrayexpress/studies/e-mtab-862","e-mtab-862",NA,"","e-mtab-862",NA,"e-mtab-862","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1073/pnas.2206324120;https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-862","10.1073/pnas.2206324120;https://www.ebi.ac.uk/biostudies/arrayexpress/studies/e-mtab-862","10.1073/pnas.2206324120;e-mtab-862",NA,"TRUE","TRUE","TRUE","FALSE","2012","FALSE","10.1073/pnas.2206324120;e-mtab-862","FALSE","TRUE"
