doi;data_id_merged;covid_related;human_data;data_availability_statement;license;source;
10.1038/s41597-019-0129-z;10.5281/zenodo.1471588;FALSE;FALSE;NA;CC BY;data_articles;"DAS remains inappicable, as a data article doesn't have a DAS; it is understood that data is available"
10.1136/bmjopen-2021-053096;10.5281/zenodo.4669937;TRUE;FALSE;yes;CC BY;numbat;
10.1186/s13059-021-02306-1;10.5281/zenodo.4669937;FALSE;FALSE;yes;CC BY;numbat;same zenodo id as the row above - https://zenodo.org/records/4454489 should be the correct one
10.1098/rsos.210389;10.17632/btchxktzyw;FALSE;TRUE;yes;CC BY-NC;numbat;
10.3390/cancers13051097;pxd018230;FALSE;TRUE;yes;CC0;numbat;
10.3390/ijms21217944;gse143796;FALSE;FALSE;yes;no license;numbat;
10.1158/0008-5472.can-21-1621;gse90805;NA;NA;NA;no license;numbat;not OA, open from within network
10.1158/2643-3230.bcd-19-0059;srr12801265;NA;NA;NA;no license;numbat;not OA, open from within network
10.1016/j.biopsych.2021.04.006;10.7910/dvn/25833;NA;NA;NA;NULL;numbat;not OA, open from within network
10.1038/s41597-022-01806-4;10.18112/openneuro.ds001226;FALSE;TRUE;no_statement_no_data;CC0;numbat;
10.1016/j.jcv.2022.105222;mt270112;TRUE;TRUE;no_statement_no_data;no license;numbat;
10.1016/j.bpsgos.2021.07.008;phs000670;FALSE;TRUE;no_statement_no_data;no license;numbat;"I find the option ""no_statement_no_data"" a bit confusing - there is not statement, but there are data"
10.1186/s12961-022-00841-2;pxd018230;NA;NA;yes;CC0;numbat;the data id does not fit the study - if the paper is correct, than the identifier is 10.17605/OSF.IO/4PZJG, it is not covid-related, not human data, and the license is CC-BY
10.3390/v14051041;on158817;FALSE;FALSE;yes;no license;numbat;
10.1038/s41467-022-31492-0;up000005640;FALSE;TRUE;yes;no license;numbat;
10.1038/s41467-023-39253-3;gcst009541;FALSE;TRUE;yes;no license;numbat;
10.1038/s41467-023-41502-4;gse143796;FALSE;FALSE;yes;no license;numbat;
10.1038/s41467-023-38044-0;gse21687;NA;NA;yes;no license;numbat;
10.1158/0008-5472.can-21-1621;gse28019;NA;NA;yes;no license;numbat;
10.1186/s13578-022-00896-2;gse49711;NA;NA;yes;no license;numbat;
10.1038/s41467-023-38044-0;gse64415;NA;NA;yes;no license;numbat;
10.1038/s41467-021-27088-9;gse93326;NA;NA;yes;no license;numbat;
10.1038/s41467-023-39253-3;phs001672;NA;NA;yes;no license;numbat;
10.1038/s41591-022-01686-6;prjeb11532;NA;NA;yes;no license;numbat;
10.1038/s41587-022-01551-4;prjeb39750;NA;NA;yes;no license;numbat;
10.1038/s41586-022-04434-5;phs000021;NA;NA;yes;NULL;numbat;
10.1038/s41588-023-01422-x;phs000431;NA;NA;yes;NULL;numbat;
10.1038/s41593-022-01043-3;phs000744;NA;NA;yes;NULL;numbat;
10.1038/s41586-022-05275-y;phs000788;NA;NA;yes;NULL;numbat;
10.1038/s41591-023-02397-2;phs000974;NA;NA;yes;NULL;numbat;
10.1016/j.jbc.2021.101224;pxd027109;FALSE;FALSE;NA;CC0;numbat;
10.1038/s41586-020-2882-8;gse125521;FALSE;FALSE;NA;NA;numbat;
10.3390/cells9010186;gse138532;FALSE;FALSE;NA;NA;numbat;
10.1038/s41586-020-2294-9;mt108784;FALSE;FALSE;NA;NA;numbat;
10.7554/elife.51243;prjeb2600;FALSE;FALSE;NA;NA;numbat;
10.1038/s41586-020-2269-x;prjeb37249;FALSE;FALSE;NA;NA;numbat;
10.1038/s41467-020-19589-w;prjeb37249;FALSE;FALSE;NA;NA;numbat;
10.1053/j.gastro.2020.07.005;prjna540738;FALSE;FALSE;NA;NA;numbat;
10.1111/jgh.15071;prjna540738;FALSE;FALSE;NA;NA;numbat;
10.1016/j.molcel.2020.11.037;6swa;FALSE;FALSE;NA;CC0;numbat;"I discovered that all data in PDB are CC0! https://www.rcsb.org/pages/policies; I have changed it in the three entries in this table - please make sure to add it in other places, if necessary (the fact that this is not on the dataset landing page kind of defies the purpose, but still, there is a license)"
10.1038/s41597-019-0161-z;srma00000000;FALSE;FALSE;NA;no license;data_articles;
10.1016/j.stem.2021.03.017;gse151333;FALSE;FALSE;NA;no license;numbat;
10.3389/fonc.2021.647737;gse155945;FALSE;FALSE;NA;no license;numbat;
10.1038/s41594-020-00539-5;gse94452;FALSE;FALSE;NA;no license;numbat;
10.3201/eid2707.204660;mt108784;FALSE;FALSE;NA;no license;numbat;
10.1038/s41467-021-26061-w;pxd018345;FALSE;TRUE;NA;CC0;numbat;
10.3389/fimmu.2020.00179;3czf;FALSE;TRUE;NA;NA;numbat;
10.1038/s41596-019-0251-6;gse109381;FALSE;TRUE;NA;NA;numbat;
10.1111/ajt.16161;gse124203;FALSE;TRUE;NA;NA;numbat;
10.1038/s41592-020-0965-y;gse142696;FALSE;TRUE;NA;NA;numbat;
10.1038/s41596-020-0333-5;gse142696;FALSE;TRUE;NA;NA;numbat;
10.1038/s41375-020-0839-4;gse146173;FALSE;TRUE;NA;NA;numbat;
10.1038/s41598-020-64431-4;gse55235;FALSE;TRUE;NA;NA;numbat;
10.1007/s00401-020-02250-7;gse70678;FALSE;TRUE;NA;NA;numbat;
10.1136/gutjnl-2020-321016;gse73338;FALSE;TRUE;NA;NA;numbat;
10.1038/s41596-020-0369-6;gse88826;FALSE;TRUE;NA;NA;numbat;
10.1038/s41598-019-57108-0;gse94916;FALSE;TRUE;NA;NA;numbat;
10.1038/s41598-020-66334-w;phs000090;FALSE;TRUE;NA;NA;numbat;
10.1038/s41467-020-18367-y;phs000930;FALSE;TRUE;NA;NA;numbat;
10.1158/1055-9965.epi-20-0714;phs001078;FALSE;TRUE;NA;NA;numbat;
10.1016/j.celrep.2020.108117;prjna579336;FALSE;TRUE;NA;NA;numbat;
10.1016/j.stem.2020.11.015;e-mtab-9067;FALSE;TRUE;NA;no license;numbat;
10.1038/s41467-020-20603-4;gse140686;FALSE;TRUE;NA;no license;numbat;
10.1038/s41590-020-00817-w;gse150305;FALSE;TRUE;NA;no license;numbat;
10.15252/emmm.202013659;gse153105;FALSE;TRUE;NA;no license;numbat;
10.1038/s41587-021-00927-2;gse156478;FALSE;TRUE;NA;no license;numbat;
10.1182/bloodadvances.2020003230;gse158596;FALSE;TRUE;NA;no license;numbat;
10.15252/embj.2019104296;gse158743;FALSE;TRUE;NA;no license;numbat;
10.1002/eji.202048797;gse160097;FALSE;TRUE;NA;no license;numbat;
10.15252/emmm.202114123;gse166555;FALSE;TRUE;NA;no license;numbat;
10.1136/jitc-2020-002226;gse175699;FALSE;TRUE;NA;no license;numbat;
10.1007/s00401-021-02377-1;gse185041;FALSE;TRUE;NA;no license;numbat;
10.1038/s41467-021-25403-y;gse58211;FALSE;TRUE;NA;no license;numbat;
10.1038/s41467-021-21994-8;gse63197;FALSE;TRUE;NA;no license;numbat;
10.1186/s13058-020-01379-3;gse89888;FALSE;TRUE;NA;no license;numbat;
10.1016/j.lfs.2021.119158;gse94916;FALSE;TRUE;NA;no license;numbat;
10.1111/cge.13977;nm_013275;FALSE;TRUE;NA;no license;numbat;
10.1038/s41467-021-25728-8;egad00001001306;FALSE;TRUE;yes;no license;numbat;
10.1038/s41588-021-00973-1;phs000101;FALSE;TRUE;yes;no license;numbat;
10.3390/cancers13081807;phs000124;FALSE;TRUE;yes;no license;numbat;
10.1038/s41597-022-01806-4;10.18112/openneuro.ds001226;FALSE;TRUE;no_statement_no_data;CC0;data_articles;
10.1126/science.abb3405;6y2e;TRUE;FALSE;yes;CC0;numbat;
10.1016/j.chom.2021.04.005;7lm8;TRUE;FALSE;yes;CC0;numbat;
10.1038/s41467-021-25030-7;gse162208;TRUE;FALSE;yes;no license;numbat;
10.1038/s41586-021-03995-1;10.6084/m9.figshare.12436517;TRUE;TRUE;yes;CC BY;numbat;
10.1038/s41586-021-03767-x;gcst011074;TRUE;TRUE;yes;no license;numbat;
10.1016/j.isci.2021.102151;gse148729;TRUE;TRUE;yes;no license;numbat;
10.1038/s41467-021-24007-w;gse148729;TRUE;TRUE;yes;no license;numbat;
10.15252/emmm.202013191;gse156544;TRUE;TRUE;yes;no license;numbat;
