number,data_id_merged,secondary_id
1,erx3161717,
2,erx9010064,
3,gca_011800105,
4,err1915528,
5,err389126,
6,err4778373,
7,err5917174,
8,err6740384,
9,prjeb11532,
10,prjeb20400,
11,prjeb25184,
12,prjeb2600,
13,prjeb27665,
14,prjeb28593,
15,prjeb30442,
16,prjeb31628,
17,prjeb32775,
18,prjeb34111,
19,prjeb35507,
20,prjeb35529,
21,prjeb35812,
22,prjeb36265,
23,prjeb36565,
24,prjeb37249,
25,prjeb37553,
26,prjeb37836,
27,prjeb37843,
28,prjeb38063,
29,prjeb38096,
30,prjeb39129,
31,prjeb39208,
32,prjeb39602,
33,prjeb39750,
34,prjeb39814,
35,prjeb39828,
36,prjeb39867,
37,prjeb40670,
38,prjeb40747,
39,prjeb41217,
40,prjeb41311,
41,prjeb41631,
42,prjeb41786,
43,prjeb41787,
44,prjeb42732,
45,prjeb42795,
46,prjeb43040,
47,prjeb43613,
48,prjeb44160,
49,prjeb44263,
50,prjeb44908,
51,prjeb45367,
52,prjeb46911,
53,prjeb47228,
54,prjeb47337,
55,prjeb47767,
56,prjeb49149,
57,prjeb49234,
58,prjeb49255,
59,prjeb50270,
60,prjeb50518,
61,prjeb50710,
62,prjeb51017,
63,prjeb51424,
64,prjeb51635,ERP136282
65,prjeb51729,ERP136384
66,prjeb51900,ERP136559
67,prjeb52219,ERP136912
68,prjeb52257,ERP136951
69,prjeb53570,ERP138378
70,prjeb54085,ERP138908
71,prjeb55408,ERP140300
72,prjeb56782,ERP141753
73,prjeb57219,ERP142191
74,prjeb58626,ERP143693
75,prjeb59052,
76,prjeb60001,
77,prjeb60349,
78,prjeb60407,
79,prjeb61549,
80,prjeb8023,
81,prjna1011235,
82,prjna1043442,
83,prjna352913,
84,prjna413158,
85,prjna437582,
86,prjna521529,
87,prjna540738,
88,prjna547947,
89,prjna555448,
90,prjna561486,
91,prjna562971,
92,prjna579336,
93,prjna589622,
94,prjna607006,
95,prjna622437,
96,prjna622577,
97,prjna632985,
98,prjna644770,
99,prjna680013,
100,prjna689550,
101,prjna698459,
102,prjna713953,
103,prjna725665,
104,prjna738291,
105,prjna761564,
106,prjna765498,
107,prjna777710,
108,prjna782417,
109,prjna784099,
110,prjna785129,
111,prjna809921,
112,prjna833766,
113,prjna837863,
114,prjna844991,
115,prjna862320,
116,prjna876929,
117,prjna878704,
118,prjna879307,
119,prjna881328,
120,prjna881497,
121,prjna896242,
122,prjna904961,
123,prjna912580,
124,prjna938360,
125,prjna945807,
126,prjna950050,
127,prjna975959,
