"data_id_merged","secondary_study_accession"
"erx3161717",NA
"erx9010064",NA
"gca_011800105",NA
"err1915528",NA
"err389126",NA
"err4778373",NA
"err5917174",NA
"err6740384",NA
"prjeb11532","erp012929"
"prjeb20400","erp022553"
"prjeb25184","erp107079"
"prjeb2600","erp000767"
"prjeb27665","erp109780"
"prjeb28593","erp110810"
"prjeb30442","erp112896"
"prjeb31628","erp114203"
"prjeb32775","erp115492"
"prjeb34111","erp116967"
"prjeb35507","erp118565"
"prjeb35529","erp118590"
"prjeb35812","erp118928"
"prjeb36265","erp119428"
"prjeb36565","erp119772"
"prjeb37249","erp120556"
"prjeb37553","erp120878"
"prjeb37836","erp121169"
"prjeb37843","erp121180"
"prjeb38063","erp121436"
"prjeb38096","erp121479"
"prjeb39129","erp122609"
"prjeb39208","erp122700"
"prjeb39602","erp123138"
"prjeb39750","erp123307"
"prjeb39814","erp123375"
"prjeb39828","erp123392"
"prjeb39867","erp123433"
"prjeb40670","erp124328"
"prjeb40747","erp124413"
"prjeb41217","erp124957"
"prjeb41311","erp125059"
"prjeb41631","erp125438"
"prjeb41786","erp125621"
"prjeb41787","erp125622"
"prjeb42732","erp126632"
"prjeb42795","erp126706"
"prjeb43040","erp126957"
"prjeb43613","erp127587"
"prjeb44160","erp128177"
"prjeb44263","erp128296"
"prjeb44908","erp129010"
"prjeb45367","erp129464"
"prjeb46911","erp131145"
"prjeb47228","erp131490"
"prjeb47337","erp131600"
"prjeb47767","erp132070"
"prjeb49149","erp133610"
"prjeb49234","erp133716"
"prjeb49255","erp133739"
"prjeb50270","erp134833"
"prjeb50518","erp135105"
"prjeb50710","erp135331"
"prjeb51017","erp135607"
"prjeb51424","erp136058"
"prjeb51635","erp136282"
"prjeb51729","erp136384"
"prjeb51900","erp136559"
"prjeb52219","erp136912"
"prjeb52257","erp136951"
"prjeb53570","erp138378"
"prjeb54085","erp138908"
"prjeb55408","erp140300"
"prjeb56782","erp141753"
"prjeb57219","erp142191"
"prjeb58626","erp143693"
"prjeb59052","erp144128"
"prjeb60001","erp145042"
"prjeb60349","erp145404"
"prjeb60407","erp145467"
"prjeb61549","erp146642"
"prjeb8023","erp009054"
"prjna1011235","srp457755"
"prjna1043442","srp473186"
"prjna352913","srp093175"
"prjna413158","srp161770"
"prjna437582","srp135863"
"prjna521529","srp184712"
"prjna540738","srp194438"
"prjna547947","srp200883"
"prjna555448","srp215341"
"prjna561486","srp219938"
"prjna562971","srp219989"
"prjna579336","srp226824"
"prjna589622","srp229815"
"prjna607006","srp249876"
"prjna622437","srp254846"
"prjna622577","srp254938"
"prjna632985","srp261730"
"prjna644770","srp271041"
"prjna680013","srp293931"
"prjna689550","srp300201"
"prjna698459","srp304078"
"prjna713953","srp323315"
"prjna725665","srp319172"
"prjna738291","srp324290"
"prjna761564","srp336119"
"prjna765498","srp338338"
"prjna777710","srp344689"
"prjna782417","srp347695"
"prjna784099","srp348166"
"prjna785129","srp348973"
"prjna809921","srp361263"
"prjna833766","srp373254"
"prjna837863",""
"prjna844991","srp378254"
"prjna862320","srp388127"
"prjna876929","srp395703"
"prjna878704","srp397023"
"prjna879307","srp396690"
"prjna881328","srp397690"
"prjna881497","srp398485"
"prjna896242","srp406369"
"prjna904961","srp409611"
"prjna912580","srp413826"
"prjna938360","srp424697"
"prjna945807",""
"prjna950050","srp429989"
"prjna975959","srp439414"
