charite_doi,reusing_paper_doi,publication_year,authors,publication_year_reusing,authors_reusing,doi_validity
10.1016/j.dib.2022.108739,https://openaccess.thecvf.com/content/cvpr2024w/dcami/html/redekop_codebook_vq-vae_approach_for_prostate_cancer_diagnosis_using_multiparametric_mri_cvprw_2024_paper.html,2022,Lisa C. Adams;Marcus R. Makowski;Günther Engel;Maximilian Rattunde;Felix Busch;Patrick Asbach;Stefan M. Niehues;Shankeeth Vinayahalingam;Bram van Ginneken;Geert Litjens;Keno K. Bressem,NA,NA,FALSE
10.1038/s41597-019-0254-10,10.1038/s41467-024-47867-4,NA,NA,2024,Irene H. Flønes;Lilah Toker;Dagny Ann Sandnes;Martina Castelli;Sepideh Mostafavi;Njål Lura;Omnia Shadad;Erika Fernández‐Vizarra;Cèlia Painous;Alexandra Pérez‐Soriano;Yaroslau Compta;Laura Molina‐Porcel;Guido Alves;Ole‐Bjørn Tysnes;Christian Dölle;Gonzalo S. Nido;Charalampos Tzoulis,FALSE
10.1038/s41597-019-0254-11,10.1016/j.media.2023.103041,NA,NA,2023,Simón Oxenford;Ana Sofía Ríos;Barbara Hollunder;Clemens Neudorfer;Alexandre Boutet;Gavin J.B. Elias;Jürgen Germann;Aaron Loh;Wissam Deeb;Bryan Salvato;Leonardo Almeida;Kelly D. Foote;Robert Amaral;Paul B. Rosenberg;David F. Tang‐Wai;David A. Wolk;Anna Burke;Marwan N. Sabbagh;Stephen Salloway;M. Mallar Chakravarty;Gwenn S. Smith;Constantine G. Lyketsos;Michael S. Okun;William S. Anderson;Zoltán Mari;Francisco A. Ponce;Andrés M. Lozano;Wolf‐Julian Neumann;Bassam Al‐Fatly;Andreas Horn,FALSE
10.1038/s41597-019-0254-12,10.1038/s41746-024-01253-y,NA,NA,2024,Enrico Ferrea;Farzin Negahbani;Idil Cebi;Daniel Weiß;Alireza Gharabaghi,FALSE
10.1038/s41597-019-0254-13,10.1016/j.neurot.2024.e00374,NA,NA,NA,NA,FALSE
10.1038/s41597-019-0254-14,10.1093/brain/awae173,NA,NA,2024,Georgios P. Skandalakis;Clemens Neudorfer;Caitlin A Payne;Evalina Bond;Armin D. Tavakkoli;Jessica Barrios‐Martinez;Anne C. Trutti;Christos Koutsarnakis;Volker A. Coenen;Spyridon Komaitis;Constantinos G. Hadjipanayis;George Stranjalis;Fang‐Cheng Yeh;Layla Banihashemi;Jennifer Hong;Andrés M. Lozano;Michael D. Kogan;Andreas Horn;Linton T. Evans;Aristotelis Kalyvas,FALSE
10.1038/s41597-019-0254-15,10.1093/braincomms/fcae161,NA,NA,NA,NA,FALSE
10.1038/s41597-019-0254-9,10.1038/s41591-024-03125-0,NA,NA,NA,NA,FALSE
10.1038/s41597-020-0495-6,https://damdid2024.frccsc.ru/files/papers/damdid_2024_paper_26.pdf,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,NA,NA,FALSE
10.1038/s41597-020-0495-6,https://damdid2024.frccsc.ru/files/papers/damdid_2024_paper_66.pdf,2020,Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter,NA,NA,FALSE
