"charite_doi","reusing_paper_doi","publication_year","authors","publication_year_reusing","authors_reusing","doi_validity","no_author_overlap"
"10.1038/s41597-019-0254-8","10.1002/ana.25975",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2020,"Gavin J.B. Elias;Alexandre Boutet;Suresh E. Joel;Jürgen Germann;Dave Gwun;Clemens Neudorfer;Robert Gramer;Musleh Algarni;Vijayashankar Paramanandam;Sreeram Prasad;Michelle E. Beyn;Andreas Horn;Radhika Madhavan;Manish Ranjan;Christopher S. Lozano;Andrea A. Kühn;Jeff Ashe;Walter Kucharczyk;Renato P. Munhoz;Peter Giacobbe;Sidney H. Kennedy;D. Blake Woodside;Suneil K. Kalia;Alfonso Fasano;Mojgan Hodaie;Andrés M. Lozano",TRUE,FALSE
"10.1038/s41597-019-0254-8","10.1038/s41593-024-01570-1",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2024,"Barbara Hollunder;Jill L. Ostrem;Ilkem Aysu Sahin;Nanditha Rajamani;Simón Oxenford;Konstantin Butenko;Clemens Neudorfer;Pablo Reinhardt;Patricia Zvarova;Mircea Polosan;Harith Akram;Matteo Vissani;Chencheng Zhang;Bomin Sun;P Navrátil;Martin M. Reich;Jens Volkmann;Fang‐Cheng Yeh;Juan Carlos Baldermann;Till A. Dembek;Veerle Visser‐Vandewalle;Eduardo Joaquim Lopes Alho;Paulo Roberto Franceschini;Pranav Nanda;Carsten Finke;Andrea A. Kühn;Darin D. Dougherty;R. Mark Richardson;Hagai Bergman;Mahlon R. DeLong;Alberto Mazzoni;Luigi Romito;Himanshu Tyagi;Ludvic Zrinzo;Eileen M. Joyce;Stéphan Chabardès;Philip A. Starr;Ningfei Li;Andreas Horn",TRUE,FALSE
"10.1038/s41597-019-0254-8","10.1073/pnas.2114985119",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2022,"Andreas Horn;Martin M. Reich;Siobhán Ewert;Ningfei Li;Bassam Al‐Fatly;Florian Lange;Jonas Roothans;Simón Oxenford;Isabel Horn;Steffen Paschen;Joachim Runge;Fritz Wodarg;Karsten Witt;Robert Nickl;Matthias Wittstock;Gerd‐Helge Schneider;Philipp Mahlknecht;Werner Poewe;Wilhelm Eisner;Ann‐Kristin Helmers;Cordula Matthies;Joachim K. Krauss;Günther Deuschl;Jens Volkmann;Andrea A. Kühn",TRUE,FALSE
"10.1038/s41597-019-0254-8","10.21203/rs.3.rs-3476665/v1",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2023,"Bryan A. Strange;Svenja Treu;Juan A. Barcia;Cristina V. Torres;Javier J. González-Rosa;Cristina Nombela;José Pineda;Daniel Torres;Lukas Kunz;Robin Hellerstedt;Josué M. Avecillas-Chasín;Mónica Lara;Marta Navas;Ana Galarza;J. Gómez García;Antonio Oliviero;F. Seijo;Andreas Horn;Ningfei Li;Nikolai Axmacher;Santiago Canals;Blanca Reneses;Anne Bierbrauer",TRUE,FALSE
"10.1038/s41597-019-0254-8","10.48550/arxiv.2411.15388",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2024,"Chiara Mauri;R. Fritz;Jocelyn Mora;Benjamin Billot;Juan Eugenio Iglesias;Koen Van Leemput;Jean C. Augustinack;Douglas N. Greve",TRUE,FALSE
"10.1038/s41597-019-0254-10","10.1038/s41467-024-47867-4",NA,NA,2024,"Irene H. Flønes;Lilah Toker;Dagny Ann Sandnes;Martina Castelli;Sepideh Mostafavi;Njål Lura;Omnia Shadad;Erika Fernández‐Vizarra;Cèlia Painous;Alexandra Pérez‐Soriano;Yaroslau Compta;Laura Molina‐Porcel;Guido Alves;Ole‐Bjørn Tysnes;Christian Dölle;Gonzalo S. Nido;Charalampos Tzoulis",FALSE,NA
"10.1038/s41597-019-0254-11","10.1016/j.media.2023.103041",NA,NA,2023,"Simón Oxenford;Ana Sofía Ríos;Barbara Hollunder;Clemens Neudorfer;Alexandre Boutet;Gavin J.B. Elias;Jürgen Germann;Aaron Loh;Wissam Deeb;Bryan Salvato;Leonardo Almeida;Kelly D. Foote;Robert Amaral;Paul B. Rosenberg;David F. Tang‐Wai;David A. Wolk;Anna Burke;Marwan N. Sabbagh;Stephen Salloway;M. Mallar Chakravarty;Gwenn S. Smith;Constantine G. Lyketsos;Michael S. Okun;William S. Anderson;Zoltán Mari;Francisco A. Ponce;Andrés M. Lozano;Wolf‐Julian Neumann;Bassam Al‐Fatly;Andreas Horn",FALSE,NA
"10.1038/s41597-019-0254-12","10.1038/s41746-024-01253-y",NA,NA,2024,"Enrico Ferrea;Farzin Negahbani;Idil Cebi;Daniel Weiß;Alireza Gharabaghi",FALSE,NA
"10.1038/s41597-019-0254-13","10.1016/j.neurot.2024.e00374",NA,NA,NA,NA,FALSE,NA
"10.1038/s41597-019-0254-14","10.1093/brain/awae173",NA,NA,2024,"Georgios P. Skandalakis;Clemens Neudorfer;Caitlin A Payne;Evalina Bond;Armin D. Tavakkoli;Jessica Barrios‐Martinez;Anne C. Trutti;Christos Koutsarnakis;Volker A. Coenen;Spyridon Komaitis;Constantinos G. Hadjipanayis;George Stranjalis;Fang‐Cheng Yeh;Layla Banihashemi;Jennifer Hong;Andrés M. Lozano;Michael D. Kogan;Andreas Horn;Linton T. Evans;Aristotelis Kalyvas",FALSE,NA
