doi_charite,charite_data_id_or_acc_nr,category,id,created,updated,repository,publisher,journal,title,doi_dcc,publishedDate,source,subjects,affiliations,affiliationsROR,funders,fundersROR,publication_year_charite,authors_charite,publication_year_dcc,authors_dcc
10.1126/science.abb3405,6y2e,standalone,a442a7aa-2bcf-4b5d-bbb5-589a723bb273,9/28/2023,9/28/2023,the protein data bank,springer science and business media llc,beni-suef university journal of basic and applied sciences,,10.1186/s43088-022-00277-1,8/4/2022,czi,physical sciences; basic medicine; chemical sciences; biological sciences,,,,,2020,Linlin Zhang;Daizong Lin;Xinyuanyuan Sun;Ute Curth;Christian Drosten;Lucie Sauerhering;Stephan Becker;Katharina Rox;Rolf Hilgenfeld,2022,Md. Nasir Ahmed;Kerry Hughes
10.1007/s00406-023-01593-y,egad00001002729,acc_nr,47b13c2c-73fa-4930-b3e7-6d1634d15f5d,9/26/2023,11/17/2023,the european genome-phenome archive(ega),springer science and business media llc,nature communications,,10.1038/s41467-021-21952-4,4/23/2021,czi,basic medicine; biological sciences,,,,,2023,Carla Lou Morgenroth;Phillip Kleymann;Stephan Ripke;Swapnil Awasthi;Elias Wagner;Tatiana Oviedo-Salcedo;Cynthia Okhuijsen‐Pfeifer;Jurjen J. Luykx;Marte Z. van der Horst;Alkomiet Hasan;Felix Bermpohl;Stefan Gutwinski;Stefanie Schreiter,2021,Marta Guindo-Martínez;Ramon Amela;Sílvia Bonàs‐Guarch;Montserrat Puiggròs;Cecilia Salvoro;Irene Miguel-Escalada;Caitlin E. Carey;Joanne B. Cole;Sina Rüeger;Elizabeth G. Atkinson;Aaron Leong;Friman Sánchez;Cristian Ramon-Cortes;Jorge Ejarque;Duncan S. Palmer;Mitja Kurki;Krishna G. Aragam;José C. Florez;Rosa M. Badía;Josep M. Mercader;David Torrents
10.1038/s41596-019-0251-6,gse109381,acc_nr,7854fdeb-ebcd-45e5-a00d-15ae0ebf7136,9/27/2023,11/7/2023,gene expression omnibus (geo),wiley,neuropathology and applied neurobiology,,10.1111/nan.12862,11/18/2022,czi,biological sciences; basic medicine,,,,,2020,Máté E. Maros;David Capper;David Jones;Volker Hovestadt;Andreas von Deimling;Stefan M. Pfister;Axel Benner;Manuela Zucknick;Martin Sill,2022,Mayen Briggs;Anirban Das;Helen V. Firth;Adrian Levine;Santiago Sánchez‐Ramírez;Logine Negm;Ayse B. Ercan;Jill Chung;Vanessa Bianchi;Ibrahim Jalloh;Poe Phyu;Nicky Thorp;Richard G. Grundy;Cynthia Hawkins;Jamie Trotman;Patrick Tarpey;Uri Tabori;Kieren Allinson;Matthew J. Murray
10.1038/s41375-020-0839-4,gse146173,acc_nr,1c53ef67-fef5-4573-8949-5655ff955f41,9/25/2023,11/8/2023,gene expression omnibus (geo),public library of science (plos),plos one,,10.1371/journal.pone.0247093,2/16/2021,czi,basic medicine; biological sciences,,,,,2020,Stefanos A. Bamopoulos;Aarif M.N. Batcha;Vindi Jurinović;Maja Rothenberg‐Thurley;Hanna Janke;Bianka Ksienzyk;Julia Philippou‐Massier;Alexander Graf;Stefan Krebs;Helmut Blum;Stephanie E. Schneider;Nikola P. Konstandin;Maria Cristina Sauerland;Dennis Görlich;Wolfgang E. Berdel;Bernhard J. Woermann;Stefan K. Bohlander;Stefan Canzar;Ulrich Mansmann;Wolfgang Hiddemann;Jan Braess;Karsten Spiekermann;Klaus H. Metzeler;Tobias Herold,2021,Adrián Mosquera Orgueira;Andrés Peleteiro Raíndo;Miguel Cid López;Beatriz Antelo Rodríguez;José Ángel Díaz Arias;Roi Ferreiro Ferro;Natalia Alonso Vence;Ángeles Bendaña López;Aitor Abuín Blanco;Laura Bao Pérez;Paula Melero Valentín;Marta Sonia González;Claudio Cerchione;Giovanni Martinelli;Pau Montesinos;Manuel Pérez‐Encinas;Jose Luís Bello López
10.1016/j.neo.2023.100934,gse14764,acc_nr,43fb2143-ae56-485a-950e-66287e50698e,9/26/2023,11/17/2023,gene expression omnibus (geo),springer science and business media llc,journal of ovarian research,,10.1186/s13048-015-0176-9,7/31/2015,czi,biological sciences; basic medicine,,,,,2023,Inga Hoffmann;Mihnea P. Dragomir;Nanna Monjé;Carlotta Keunecke;Catarina Alisa Kunze;Simon Schallenberg;Sofya Marchenko;Wolfgang Schmitt;Hagen Kulbe;Jalid Sehouli;Elena Ioana Braicu;Paul Jank;Carsten Denkert;Silvia Darb‐Esfahani;David Horst;Bruno V. Sinn;Christine Sers;Philip Bischoff;Eliane T. Taube,2015,Shengyun Cai;Tian Yang;Yu Chen;Jingwen Wang;Li Li;Mingjuan Xu
10.1038/s41467-021-24007-w,gse148729,acc_nr,8d47503b-4d7d-40ac-a4f9-a0c1ce86fffa,9/26/2023,11/18/2023,gene expression omnibus (geo),elsevier bv,cell stem cell,,10.1016/j.stem.2020.10.004,12/1/2020,czi,biological sciences; basic medicine,,,,,2021,Nils C. Gassen;Jan Papies;Thomas Bajaj;Jackson Emanuel;Frederik Dethloff;Robert Lorenz Chua;Jakob Trimpert;Nicolas Heinemann;Christine Niemeyer;Friderike Weege;Katja Hönzke;Tom Aschman;Daniel E. Heinz;Katja Weckmann;Tim Ebert;Andreas Zellner;Martina Lennarz;Emanuel Wyler;Simon Schroeder;Anja Richter;Daniela Niemeyer;Karen Hoffmann;Thomas F. Meyer;Frank L. Heppner;Victor M. Corman;Markus Landthaler;Andreas C. Hocke;Markus Morkel;Nikolaus Osterrieder;Christian Conrad;Roland Eils;Helena Radbruch;Patrick Giavalisco;Christian Drosten;Marcel A. Müller,2020,Jeonghwan Youk;Taewoo Kim;Kelly V. Evans;Young-Il Jeong;Yong Suk Hur;Seon Pyo Hong;Je Hyoung Kim;Kijong Yi;Su Yeon Kim;Kwon Joong Na;Thomas Bleazard;Ho Min Kim;Mick D. Fellows;Krishnaa T. Mahbubani;Kourosh Saeb‐Parsy;Seon Young Kim;Young Tae Kim;Gou Young Koh;Byeong‐Sun Choi;Young Seok Ju;Joo‐Hyeon Lee
10.15252/emmm.202114123,gse166555,acc_nr,23477b2a-ca8a-44aa-9a7b-61e1d0345d4f,9/28/2023,11/10/2023,gene expression omnibus (geo),mdpi ag,cancers,,10.3390/cancers14235952,12/1/2022,czi,basic medicine; biological sciences,,,,,2021,Florian Uhlitz;Philip Bischoff;Stefan Peidli;Anja Sieber;Alexandra Trinks;Mareen Lüthen;Benedikt Obermayer;Eric Blanc;Yana Ruchiy;Thomas Sell;Soulafa Mamlouk;Roberto Arsiè;Tzu‐Ting Wei;Kathleen Klotz‐Noack;Roland F. Schwarz;Birgit Sawitzki;Carsten Kamphues;Dieter Beule;Markus Landthaler;Christine Sers;David Horst;Nils Blüthgen;Markus Morkel,2022,Yuan Wang;Yongbiao Huang;Mu Yang;Yulong Yu;Xinyi Chen;Li Ma;Lingyan Xiao;Chaofan Liu;Bo Liu;Xianglin Yuan
10.1038/s41467-023-40584-4,gse19784,acc_nr,64eb05fc-9bd8-4a26-b31d-a2dcac693d50,9/27/2023,11/7/2023,gene expression omnibus (geo),public library of science (plos),plos one,,10.1371/journal.pone.0058809,3/15/2013,czi,biological sciences; basic medicine,,,,,2023,Lukas John;Alexandra M. Poos;Alexander Brobeil;Carolina Schinke;Stefanie Huhn;Nina Prokoph;Raphael Lutz;Barbara Wagner;Maurizio Zangari;Stephan M. Tirier;Jan‐Philipp Mallm;Sabrina Schumacher;Dominik Vonficht;Llorenç Solé‐Boldo;Sabine Quick;Simon Steiger;Moritz J. Przybilla;Katharina Bauer;Anja Baumann;Stefan Hemmer;Christoph Rehnitz;Christian Lückerath;Christos Sachpekidis;Gunhild Mechtersheimer;Uwe Haberkorn;Antonia Dimitrakopoulou‐Strauss;Philipp Reichert;Bart Barlogie;Carsten Müller‐Tidow;Hartmut Goldschmidt;Jens Hillengaß;Leo Rasche;Simon Haas;Frits van Rhee;Karsten Rippe;Marc S. Raab;Sandra Sauer;Niels Weinhold,2013,Yingxiang Li;Xujun Wang;Haiyang Zheng;Chengyang Wang;Stéphane Minvielle;Florence Magrangeas;Hervé Avet‐Loiseau;Parantu K. Shah;Yong Zhang;Nikhil C. Munshi;Cheng Li
10.1038/s41467-023-38044-0,gse21687,acc_nr,6d67e241-4e69-432f-99d2-b30612ea468e,9/25/2023,11/8/2023,gene expression omnibus (geo),springer science and business media llc,journal of neuro-oncology,,10.1007/s11060-010-0509-x,12/31/2010,czi,biological sciences; basic medicine,,,,,2023,Konstantin Okonechnikov;Aylin Camgöz;Owen Chapman;Sameena Wani;Donglim Esther Park;Jens-Martin Hübner;Abhijit Chakraborty;Meghana S. Pagadala;Rosalind Bump;Sahaana Chandran;Katerina Kraft;Rocío Acuña‐Hidalgo;Derek A. Reid;Kristin Sikkink;Monika Mauermann;Edwin F. Juarez;Anne Jenseit;James Robinson;Kristian W. Pajtler;Till Milde;Natalie Jäger;Petra Fiesel;Ling Morgan;Sunita Sridhar;Nicole G. Coufal;Michael L. Levy;Denise Malicki;Charlotte A. Hobbs;Stephen F. Kingsmore;Shareef Nahas;Matija Snuderl;John R. Crawford;Robert J. Wechsler‐Reya;Tom B. Davidson;Jennifer A. Cotter;George Michaiel;Gudrun Fleischhack;Stefan Mundlos;Anthony Schmitt;Hannah Carter;Kulandaimanuvel Antony Michealraj;Sachin Kumar;Michael D. Taylor;Jeremy N. Rich;Frank Buchholz;Jill P. Mesirov;Stefan M. Pfister;Ferhat Ay;Jesse R. Dixon;Marcel Kool;Lukas Chávez,2010,José Javier Otero;David H. Rowitch;Scott R. VandenBerg
10.1038/s41598-020-64431-4,gse55235,acc_nr,258362b0-93a3-4ab8-8a01-b4507c879c18,9/28/2023,9/28/2023,gene expression omnibus (geo),peerj,peerj,,10.7717/peerj.8390,1/17/2020,czi,biological sciences; basic medicine,,,,,2020,Biljana Smiljanovic;Andreas Grützkau;Till Sörensen;Joachim R. Grün;Thomas Vogl;Marc Bonin;Pascal Schendel;Bruno Stuhlmüller;Anne Claußnitzer;Sandra Hermann;Sarah Ohrndorf;Karlfried R. Aupperle;Marina Backhaus;Andreas Radbruch;Gerd R Burmester;Thomas Häupl,2020,Weisong Cai;Haohuan Li;Yubiao Zhang;Guangtao Han
