"unique_id","doi","doi_no_ver_info","data_id","data_id_merged","data_access","in_dashboard","source","listed_in_numbat_output","validated","Category","dataset_is_doi","repository","charite_id_year","in_dcc","human_data","covid_related","license"
166,"10.1038/s41593-023-01435-z","10.1038/s41593-023-01435-z","10.17632/rh4zjz8vt3.1","10.17632/rh4zjz8vt3","yes",TRUE,"numbat",TRUE,TRUE,"doi","TRUE",NA,NA,"FALSE",NA,NA,"CC BY"
1745,"10.1038/s41467-020-20877-8","10.1038/s41467-020-20877-8","https://www.ebi.ac.uk/metabolights/mtbls284/descriptors","mtbls284","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE",NA,NA,"FALSE",NA,NA,"CC0"
13,"10.1038/s41588-023-01386-y","10.1038/s41588-023-01386-y","https://ega-archive.org/datasets/egad00001010071","egad00001010071","restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE",NA,NA,"FALSE",NA,NA,"NULL"
680,"10.1038/s41467-022-34815-3","10.1038/s41467-022-34815-3","https://0-www-ncbi-nlm-nih-gov.brum.beds.ac.uk/geo/query/acc.cgi?acc=gse196228","gse196228","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE",NA,NA,"FALSE",NA,NA,"no license"
77,"10.1126/sciadv.abq0651","10.1126/sciadv.abq0651","https://www.ebi.ac.uk/pride/archive/projects/pxd032320","pxd032320","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE",NA,NA,"FALSE",NA,NA,"CC0"
1083,"10.3390/ijms232012347","10.3390/ijms232012347","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse199791","gse199791","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE",NA,NA,"FALSE",NA,NA,"no license"
24,"10.1007/s00401-023-02637-2","10.1007/s00401-023-02637-2","https://singlecell.broadinstitute.org/single_cell/study/scp2253/single-nuclei-rna-sequencing-of-inclusion-body-myositis#study-download","scp2253","restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE",NA,NA,"FALSE",NA,NA,"NULL"
622,"10.1371/journal.ppat.1011657","10.1371/journal.ppat.1011657","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse239588","gse239588","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE",NA,NA,"FALSE",NA,NA,"no license"
17,"10.1073/pnas.2219439120","10.1073/pnas.2219439120","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse183177","gse183177","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE",NA,NA,"FALSE",NA,NA,"no license"
737,"10.7554/elife.83947","10.7554/elife.83947","https://www.ebi.ac.uk/pride/archive/projects/pxd036786","pxd036786","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE",NA,NA,"FALSE",NA,NA,"CC0"
1976,"10.1158/0008-5472.can-20-0754","10.1158/0008-5472.can-20-0754","https://www.ncbi.nlm.nih.gov/sra/?term=prjna413158","prjna413158","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE",NA,NA,"FALSE",NA,NA,NA
116,"10.1371/journal.pone.0286522","10.1371/journal.pone.0286522","10.5281/zenodo.7889352","10.5281/zenodo.7889352","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep","TRUE",NA,NA,"FALSE",NA,NA,"CC BY"
