"unique_id","doi","doi_no_ver_info","data_id","data_id_merged","data_access","in_dashboard","source","listed_in_numbat_output","validated","Category","covid_related","human_data","dataset_is_doi","repository","charite_id_year","in_dcc"
2094,"10.1038/s41597-020-00773-y","10.1038/s41597-020-00773-y","10.5281/zenodo.4059716","10.5281/zenodo.4118676",NA,TRUE,"data_articles",FALSE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
1025,"10.15252/embj.2021109996","10.15252/embj.2021109996","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse165028","gse165028","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
880,"10.1093/nargab/lqac042","10.1093/nargab/lqac042","10.5281/zenodo.6492306","10.5281/zenodo.6576176","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep","TRUE","TRUE","TRUE",NA,NA,"FALSE"
1403,"10.3389/fimmu.2020.613496","10.3389/fimmu.2020.613496","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse124719","gse124719","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,2020,"FALSE"
323,"10.1126/science.adj0070","10.1126/science.adj0070","https://doi.org/10.5061/dryad.b8gtht7jf","10.5061/dryad.b8gtht7jf","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
231,"10.2807/1560-7917.es.2023.28.48.2300258","10.2807/1560-7917.es.2023.28.48.2300258","https://www.ncbi.nlm.nih.gov/nuccore/mz964752","mz964752","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1487,"10.1038/s41467-021-26870-z","10.1038/s41467-021-26870-z","https://ega-archive.org/datasets/egad00001008020/files","egad00001008020","restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
67,"10.1002/glia.24380","10.1002/glia.24380","https://doi.org/10.5061/dryad.jwstqjqdb","10.5061/dryad.jwstqjqdb","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
355,"10.1038/s41591-023-02323-6","10.1038/s41591-023-02323-6","https://doi.org/10.7303/syn33342930","10.7303/syn33342930","restricted",TRUE,"numbat",TRUE,TRUE,"doi",NA,NA,"TRUE",NA,NA,"FALSE"
345,"10.1038/s41388-023-02839-8","10.1038/s41388-023-02839-8","https://www.ebi.ac.uk/ena/browser/view/prjeb61549","prjeb61549","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
506,"10.1080/22221751.2023.2259001","10.1080/22221751.2023.2259001","https://www.ebi.ac.uk/ena/browser/view/prjeb60001","prjeb60001","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
685,"10.1038/s41467-022-30322-7","10.1038/s41467-022-30322-7","https://www.ebi.ac.uk/pride/archive/projects/pxd018313","pxd018313","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1758,"10.1038/s41467-021-25326-8","10.1038/s41467-021-25326-8","https://www.ebi.ac.uk/ena/browser/view/prjeb39208","prjeb39208","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1058,"10.1183/13993003.02049-2021","10.1183/13993003.02049-2021","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse186976","gse186976","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1742,"10.1016/j.xcrm.2021.100291","10.1016/j.xcrm.2021.100291","https://doi.org/10.17632/5n8df8jvk4.1","10.17632/5n8df8jvk4.1","yes",TRUE,"numbat",TRUE,TRUE,"doi",NA,NA,"TRUE",NA,NA,"FALSE"
539,"10.1016/j.xgen.2023.100281","10.1016/j.xgen.2023.100281","https://doi.org/10.5281/zenodo.7658888","10.5281/zenodo.7658888","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
1805,"10.1016/j.celrep.2020.107549","10.1016/j.celrep.2020.107549","https://www.ebi.ac.uk/ena/data/view/prjeb8023","prjeb8023","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1280,"10.1096/fj.202002658rr","10.1096/fj.202002658rr","https://www.ebi.ac.uk/pride/archive/projects/pxd022350","pxd022350","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1127,"10.1038/s41467-022-34719-2","10.1038/s41467-022-34719-2","http://dx.doi.org/10.17169/refubium-36351","10.17169/refubium-36351","yes",TRUE,"numbat",TRUE,TRUE,"doi",NA,NA,"TRUE",NA,NA,"FALSE"
473,"10.3390/cancers15204907","10.3390/cancers15204907","https://doi.org/10.5281/zenodo.8262551","10.5281/zenodo.8262551","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
996,"10.1038/s41467-022-28508-0","10.1038/s41467-022-28508-0","https://www.ebi.ac.uk/pride/archive/projects/pxd030785","pxd030785","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
182,"10.1186/s13059-023-03060-2","10.1186/s13059-023-03060-2","https://www.ebi.ac.uk/ena/browser/view/prjeb60407","prjeb60407","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
810,"10.1016/j.celrep.2022.111214","10.1016/j.celrep.2022.111214","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse195939","gse195939","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1776,"10.1038/s41588-021-00951-7","10.1038/s41588-021-00951-7","https://www.ebi.ac.uk/ena/browser/view/prjeb45367","prjeb45367","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
123,"10.1038/s41587-023-01881-x","10.1038/s41587-023-01881-x","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse194028","gse194028","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
