"doi_auto_current","charite_data_id_or_acc_nr_merged"
"10.1111/ejn.15169","//osf.io/x5mzw"
"10.1093/scan/nsab109","//osf.io/r7g9q"
"10.1371/journal.pgen.1009619","10.6084/m9.figshare.14831532"
"10.1371/journal.pbio.3001009","10.6084/m9.figshare.14527317"
"10.1136/gutjnl-2021-324725","e-mtab-10824"
"10.1038/s41537-023-00372-x","10.5281/zenodo.6867888"
"10.1016/j.xcrm.2023.100992","10.5281/zenodo.6950235"
"10.1021/acs.jmedchem.1c01264","10.2210/pdb7o6x/pdb"
"10.1016/j.dib.2023.109018","10.18112/openneuro.ds002013"
"10.1126/sciadv.adi2095","e-mtab-8154"
"10.1098/rsos.190806","//osf.io/u9fw8"
"10.1038/s41559-021-01486-0","srr11196254"
"10.1158/1055-9965.epi-20-0739","gse155328"
"10.1038/s41467-023-44033-0","prjna1043442"
"10.1126/scitranslmed.abe8952","e-mtab-9361"
"10.1038/s41467-023-43672-7","pxd037671"
"10.1038/s41467-020-15383-w","phs001984"
"10.1038/s41526-020-00129-1","10.6084/m9.figshare.12129534"
"10.1038/s41416-020-0751-8","gse122399"
"10.1098/rsos.210389","10.17632/btchxktzyw"
"10.1186/s12885-021-08186-9","10.6084/m9.figshare.14524716"
"10.1016/j.xgen.2023.100347","10.6084/m9.figshare.14330795"
"10.1186/s13071-023-05800-6","srr9326548"
"10.1038/s41467-023-41180-2","gcst90244788"
"10.1038/s41590-023-01493-2","gse205412"
"10.1093/gigascience/giad024","10.5281/zenodo.1197578"
"10.1186/s13059-023-03060-2","prjeb60349"
"10.3389/fnins.2021.742652","10.5281/zenodo.5746691"
"10.1038/s42003-021-02307-7","10.5061/dryad.pnvx0k6kr"
"10.5281/zenodo.8425610","emd-15674"
