"charite_doi","reusing_paper_doi","publication_year","authors","publication_year_reusing","authors_reusing"
"10.1038/s41597-019-0129-z","10.1016/j.neuroimage.2022.118973",2019,"Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh",2022,"Michael Schirner;Lia Domide;Dionysios Perdikis;Paul Triebkorn;Leon Stefanovski;Roopa Pai;Paula Prodan;Bogdan Valean;Jessica Palmer;Chloê Langford;André Blickensdörfer;Michiel van der Vlag;Sandra Diaz-Pier;Alexander Peyser;Wouter Klijn;D. Pleiter;Anne Nahm;Oliver Schmid;Marmaduke Woodman;Lyuba Zehl;J. Fousek;Spase Petkoski;Lionel Kusch;Meysam Hashemi;Daniele Marinazzo;Jean‐François Mangin;Agnes Flöel;Simisola Akintoye;Bernd Carsten Stahl;Michael Cepic;Emily L. Johnson;Gustavo Deco;Anthony R. McIntosh;Claus C. Hilgetag;Marc Morgan;Bernd Schuller;Alex Upton;Colin McMurtrie;Timo Dickscheid;Jan G. Bjaalie;Katrin Amunts;Jochen Mersmann;Viktor Jirsa;Petra Ritter"
"10.1038/s41597-019-0129-z","10.1523/eneuro.0475-20.2021",2019,"Kelly Shen;Gleb Bezgin;Michael Schirner;Petra Ritter;Stefan Everling;Anthony R. McIntosh",2021,"Lucas Arbabyazd;Kelly Shen;Zheng Wang;Martin Hofmann‐Apitius;Petra Ritter;Anthony R. McIntosh;Demian Battaglia;Viktor Jirsa"
"10.1038/s41597-019-0161-z","10.1016/j.celrep.2022.110585",2019,"Mykola Kadobianskyi;Lisanne Schulze;Markus Schuelke;Benjamin Judkewitz",2022,"Gokul Rajan;Julie Lafaye;Giulia Faini;Martin Carbó-Tano;Karine Duroure;Dimitrii Tanese;Thomas Panier;Raphaël Candelier;Jörg Henninger;Ralf Britz;Benjamin Judkewitz;Christoph Gebhardt;Valentina Emiliani;Georges Debrégeas;Claire Wyart;Filippo Del Bene"
"10.1038/s41597-019-0254-8","10.48550/arxiv.2411.15388",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2024,"Chiara Mauri;R. Fritz;Jocelyn Mora;Benjamin Billot;Juan Eugenio Iglesias;Koen Van Leemput;Jean C. Augustinack;Douglas N. Greve"
"10.1038/s41597-019-0254-8","10.21203/rs.3.rs-3476665/v1",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2023,"Bryan A. Strange;Svenja Treu;Juan A. Barcia;Cristina V. Torres;Javier J. González-Rosa;Cristina Nombela;José Pineda;Daniel Torres;Lukas Kunz;Robin Hellerstedt;Josué M. Avecillas-Chasín;Mónica Lara;Marta Navas;Ana Galarza;J. Gómez García;Antonio Oliviero;F. Seijo;Andreas Horn;Ningfei Li;Nikolai Axmacher;Santiago Canals;Blanca Reneses;Anne Bierbrauer"
"10.1038/s41597-019-0254-8","10.1016/j.media.2023.103041",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2023,"Simón Oxenford;Ana Sofía Ríos;Barbara Hollunder;Clemens Neudorfer;Alexandre Boutet;Gavin J.B. Elias;Jürgen Germann;Aaron Loh;Wissam Deeb;Bryan Salvato;Leonardo Almeida;Kelly D. Foote;Robert Amaral;Paul B. Rosenberg;David F. Tang‐Wai;David A. Wolk;Anna Burke;Marwan N. Sabbagh;Stephen Salloway;M. Mallar Chakravarty;Gwenn S. Smith;Constantine G. Lyketsos;Michael S. Okun;William S. Anderson;Zoltán Mari;Francisco A. Ponce;Andrés M. Lozano;Wolf‐Julian Neumann;Bassam Al‐Fatly;Andreas Horn"
"10.1038/s41597-019-0254-8","10.1038/s41467-022-34510-3",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2022,"Ana Sofía Ríos;Simón Oxenford;Clemens Neudorfer;Konstantin Butenko;Ningfei Li;Nanditha Rajamani;Alexandre Boutet;Gavin J.B. Elias;Jürgen Germann;Aaron Loh;Wissam Deeb;Fuyixue Wang;Kawin Setsompop;Bryan Salvato;Leonardo Almeida;Kelly D. Foote;Robert Amaral;Paul B. Rosenberg;David F. Tang‐Wai;David A. Wolk;Anna Burke;Stephen Salloway;Marwan N. Sabbagh;M. Mallar Chakravarty;Gwenn S. Smith;Constantine G. Lyketsos;Michael S. Okun;William S. Anderson;Zoltán Mari;Francisco A. Ponce;Andrés M. Lozano;Andreas Horn"
"10.1038/s41597-019-0254-8","10.1073/pnas.2114985119",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2022,"Andreas Horn;Martin M. Reich;Siobhán Ewert;Ningfei Li;Bassam Al‐Fatly;Florian Lange;Jonas Roothans;Simón Oxenford;Isabel Horn;Steffen Paschen;Joachim Runge;Fritz Wodarg;Karsten Witt;Robert Nickl;Matthias Wittstock;Gerd‐Helge Schneider;Philipp Mahlknecht;Werner Poewe;Wilhelm Eisner;Ann‐Kristin Helmers;Cordula Matthies;Joachim K. Krauss;Günther Deuschl;Jens Volkmann;Andrea A. Kühn"
"10.1038/s41597-019-0254-8","10.1002/ana.25975",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2020,"Gavin J.B. Elias;Alexandre Boutet;Suresh E. Joel;Jürgen Germann;Dave Gwun;Clemens Neudorfer;Robert Gramer;Musleh Algarni;Vijayashankar Paramanandam;Sreeram Prasad;Michelle E. Beyn;Andreas Horn;Radhika Madhavan;Manish Ranjan;Christopher S. Lozano;Andrea A. Kühn;Jeff Ashe;Walter Kucharczyk;Renato P. Munhoz;Peter Giacobbe;Sidney H. Kennedy;D. Blake Woodside;Suneil K. Kalia;Alfonso Fasano;Mojgan Hodaie;Andrés M. Lozano"
"10.1038/s41597-019-0254-8","10.1016/j.neuroimage.2020.117307",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2020,"Qiang Wang;Harith Akram;Muthuraman Muthuraman;Gabriel González‐Escamilla;Sameer A. Sheth;Simón Oxenford;Fang‐Cheng Yeh;Sergiu Groppa;Nora Vanegas‐Arroyave;Ludvic Zrinzo;Ningfei Li;Andrea A. Kühn;Andreas Horn"
