file,line,Checked,text,Comments
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,537,V,  distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,597,V,  distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,757,V,#   distinct() |>,
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,762,V,#   distinct() |>,
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,768,V,#   distinct() |>,
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,774,V,#   distinct() |>,
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,843,V,  distinct() |>,
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,848,V,  distinct() |>,
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,853,V,  distinct() |>,
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,859,V,  distinct() |>,
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,886,V,dcc_id_dist <- DCC_corpus_10_id_std |> select(data_id_or_acc_nr) |> distinct() |> nrow(),
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,892,V,"    osf = n_distinct(data_id_or_acc_nr[str_detect(data_id_or_acc_nr, ""osf"")]),",
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,893,V,"    zenodo = n_distinct(data_id_or_acc_nr[str_detect(data_id_or_acc_nr, ""zenodo"")]),",
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,894,V,"    dryad = n_distinct(data_id_or_acc_nr[str_detect(data_id_or_acc_nr, ""dryad"")]),",
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,895,V,"    figshare = n_distinct(data_id_or_acc_nr[str_detect(data_id_or_acc_nr, ""figshare"")]),",
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,896,V,"    harvard = n_distinct(data_id_or_acc_nr[str_detect(data_id_or_acc_nr, ""harvard"")])",
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,1087,V,  distinct() |> ,
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,1089,V,  summarise(n = n()),
C:/AVIHAY/git/DCC-v3/notebooks/dcc_load_prep.qmd,1113,V,  summarise(n = n()) |> ,
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,101,V,  distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,107,V,  distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,226,V,  # added_and_ds_for_matching_2_rm_exc |> select(dataset_for_matching) |> distinct() |> View() # ok.,
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,233,V,  #   distinct() # 2 cases that are not relevant,
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,363,V,"dcc_ds_and_added_joined |> summarise(across(everything(), ~ any(str_detect(as.character(.), ""[A-Z]"")))) |> View()",
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,390,V,"dois_ids_grouped <- dcc_ds_and_added_joined_1_rm_self |> select(doi_dcc,dataset_for_matching) |> group_by(dataset_for_matching) |> summarise(n=n())",
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,399,V,"dois_ids_distinct <- dcc_ds_and_added_joined_1_rm_self |> select(doi_dcc, dataset_for_matching) |> distinct()",
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,410,V,  distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,426,V,  distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,438,V,  distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,506,V,  distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,531,,"  distinct(doi_datastet_and_added, dataset_for_matching, doi_dcc, .keep_all = TRUE)",
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,602,V,  distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,606,V,  distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,618,V,  distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,710,V,"  distinct(doi_datastet_and_added, dataset_for_matching, doi_dcc, .keep_all = TRUE)",was checked against the same without .keep_all
C:/AVIHAY/git/DCC-v3/notebooks/ds_added_and_datastet_load_prep_match_clean.qmd,858,V,    distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,190,V,  distinct() |> ,
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,220,V,#     n_distinct(not_bad(dataset_license)) > 1,
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,221,V,#     | n_distinct(not_bad(license_name)) > 1,
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,222,V,#     | n_distinct(not_bad(data_availability_statement)) > 1,
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,223,V,#     | n_distinct(not_bad(data_access)) > 1,
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,243,V,   summarise(n = n()) |>,
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,262,V,   summarise(n = n()) |>,
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,322,V,  summarise(,
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,323,V,"    unique_access = n_distinct(data_access),",
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,332,V,  distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,341,V,#   distinct() |> ,
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,344,V,# charite_da_dois_and_ids_1_m_add |> select(doi_lc) |>  distinct() |> View(),
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,657,V,#   distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,913,V,  distinct() # get dcc,
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,918,V,  distinct() # get charite,
C:/AVIHAY/git/DCC-v3/notebooks/ds_primary_load_prep_match_clean.qmd,997,V,"  distinct(doi_charite, dataset_for_matching, doi_dcc, .keep_all = TRUE)","https://openneuro.org/datasets/ds001226 from data articles is missing! Make sure you have it under data articles then. Other then that it's supposed to be ok, since it's the same detected_id"
C:/AVIHAY/git/DCC-v3/notebooks/joined_bind_add_metadata_verify.qmd,98,V,"#     dplyr::filter(n() > 1, n_distinct(source_charite) > 1) |> ",
C:/AVIHAY/git/DCC-v3/notebooks/joined_bind_add_metadata_verify.qmd,99,V,"#     distinct(detected_id, source_charite)",
C:/AVIHAY/git/DCC-v3/notebooks/joined_bind_add_metadata_verify.qmd,105,V,#     distinct() |> ,
C:/AVIHAY/git/DCC-v3/notebooks/joined_bind_add_metadata_verify.qmd,110,V,#     distinct() |> ,
C:/AVIHAY/git/DCC-v3/notebooks/joined_bind_add_metadata_verify.qmd,115,V,#     distinct() |> ,
C:/AVIHAY/git/DCC-v3/notebooks/joined_bind_add_metadata_verify.qmd,131,V,"#     distinct(detected_id, source_charite, listed_in_numbat_output) |> View()",
C:/AVIHAY/git/DCC-v3/notebooks/joined_bind_add_metadata_verify.qmd,138,V,#     distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/joined_bind_add_metadata_verify.qmd,143,V,#     distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/joined_bind_add_metadata_verify.qmd,148,V,#     distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/joined_bind_add_metadata_verify.qmd,153,V,#     distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/joined_bind_add_metadata_verify.qmd,158,V,#     distinct(),
C:/AVIHAY/git/DCC-v3/notebooks/joined_bind_add_metadata_verify.qmd,163,V,#     distinct(),
