"dataset_for_matching","n"
"10.15154/1519007",1
"10.17632/83rthbp8ys",2
"10.17863/cam.23511",1
"10.17863/cam.87955",1
"10.18112/openneuro.ds000030",1
"10.5",1
"10.5061/dryad.8t8s248",2
"10.5061/dryad.d9v38",1
"10.5061/dryad.v15dv41zp",2
"10.5281/zenodo.2529950",1
"10.5281/zenodo.6063905",2
"10.57760/sciencedb.07860",14
"10.6084/m9.figshare.915436",4
"10.7802/1460",5
"10.7937/tcia.2020.fqn0-0326",14
"1k5n",4
"1uxs",4
"1uxw",3
"2a83",3
"2jm4",1
"2v6c",1
"3o8y",32
"3w3m",7
"4l72",30
"4nre",18
"4pv7",1
"5ib5",1
"5meq",2
"6agf",64
"6lu7",1010
"6y2f",143
"6y2g",68
"6y7m",12
"7jm7",4
"7lm9",1
"aa025017",6
"aaas7948",3
"ab086256",20
"ab102505",2
"ab108410",1
"ab108508",1
"ab110413",1
"ab118970",3
"ab131366",1
"ab150681",2
"ab183685",1
"ab233471",1
"abf65836",2
"ac004687",1
"acns0332",32
"af074086",4
"af116575",2
"af157706",25
"af162137",1
"af250356",6
"af333238",5
"ag000037",8
"ag010161",7
"ag017917",8
"ag024904",1133
"ag032037",1
"ag056486",1
"ag058854",11
"atcc25922",1019
"atcc700603",143
"atto550",1
"atto590",12
"atto647",14
"avd80100",1
"ay130766",5
"ay310120",11
"ay354458",13
"ay590688",6
"ay744935",4
"bab40370",8
"bio94020",1
"bnc17011",2
"bronco150",41
"ca008748",3058
"ca195503",1
"ca221490",1
"cd004863",31
"cfap410",54
"cg000204",45
"cg000209",18
"cg000338",11
"cg000390",1
"cg000496",1
"chembl206",10
"chembl228",2
"chir99021",11988
"cobas8000",2
"colo205",1
"colo320",32
"crd42017",2
"cst12653",1
"dk100446",1
"dpss561",15
"dq208309",4
"dq487333",1
"duo92007",18
"duo92101",212
"e-mtab-2299",7
"e-mtab-2592",2
"e-mtab-3482",3
"e-mtab-3610",31
"e-mtab-3827",6
"e-mtab-5061",162
"e-mtab-5552",3
"e-mtab-5596",1
"e-mtab-5876",3
"e-mtab-6564",3
"e-mtab-6570",6
"e-mtab-6798",14
"e-mtab-6967",12
"e-mtab-7247",12
"e-mtab-7407",20
"e-mtab-7779",25
"e-mtab-8248",28
"e-mtab-8410",7
"e-mtab-8412",1
"e-mtab-8495",4
"e-mtab-8581",14
"e-mtab-9330",2
"eb020403",374
"ef999921",19
"egad00001002729",42
"egad00001003279",6
"egas00000000122",3
"egas00001000992",2
"egas00001002247",1
"egas00001002555",2
"egas00001003248",3
"emd-10491",1
"emd-10840",2
"emd-15636",1
"emd-3420",1
"ensg00000122025",2
"ensg00000132688",4
"ensg00000167972",3
"ensg00000171885",2
"ensg00000183813",1
"epr17341",65
"epr19514",72
"erp123231",2
"err194147",18
"fast1394",1
"gb113109",9
"gca_000001405",2
"gcst005194",6
"gcst006414",15
"gcst006624",6
"gcst006630",3
"gcst006900",6
"gds2545",132
"gds4109",8
"gds4381",2
"gds4513",3
"gds4516",4
"gds4718",7
"gds651",10
"gm103311",10
"gm103472",1
"gpl10295",16
"gpl10558",228
"gpl1261",184
"gpl1390",14
"gpl14550",234
"gpl16876",7
"gpl19983",4
"gpl3921",46
"gpl5175",43
"gpl570",8855
"gpl571",131
"gpl6244",412
"gpl6480",117
"gpl8300",39
"gpl96",1352
"gse100336",2
"gse101714",1
"gse101715",4
"gse102741",14
"gse102789",1
"gse103123",5
"gse103584",12
"gse103672",16
"gse104276",29
"gse104948",506
"gse10609",4
"gse106139",4
"gse107011",132
"gse107585",28
"gse108113",30
"gse108304",2
"gse10846",138
"gse108576",5
"gse109142",17
"gse109743",2
"gse11057",9
"gse111165",5
"gse111336",1
"gse111902",1
"gse112057",42
"gse112179",6
"gse11223",25
"gse112813",1
"gse113405",2
"gse113439",198
"gse114374",10
"gse115098",2
"gse115736",12
"gse115746",36
"gse116222",8
"gse116893",1
"gse117261",208
"gse117852",1
"gse118184",10
"gse118257",39
"gse11969",196
"gse120572",24
"gse120650",3
"gse12172",17
"gse12195",60
"gse122126",67
"gse122511",1
"gse122515",2
"gse122517",1
"gse122713",6
"gse12276",160
"gse12288",18
"gse122931",1
"gse123018",1
"gse123544",8
"gse123813",18
"gse124731",6
"gse124766",3
"gse125696",2
"gse126550",6
"gse128033",26
"gse128130",1
"gse128682",8
"gse128987",1
"gse129582",1
"gse129957",6
"gse130051",1
"gse130711",6
"gse131111",1
"gse13159",103
"gse131928",58
"gse132040",11
"gse13213",153
"gse132188",11
"gse13294",49
"gse134751",1
"gse135312",1
"gse135644",2
"gse135779",4
"gse135893",45
"gse135898",5
"gse135922",28
"gse136103",33
"gse136390",1
"gse137682",1
"gse137688",2
"gse137851",2
"gse137884",1
"gse138293",1
"gse138295",8
"gse138314",3
"gse139107",9
"gse139602",6
"gse139810",2
"gse139829",36
"gse140973",6
"gse142016",2
"gse142439",4
"gse142745",2
"gse143209",2
"gse14333",511
"gse143437",5
"gse14520",677
"gse14580",16
"gse145926",598
"gse146887",2
"gse147457",1
"gse147507",939
"gse147672",7
"gse149250",1
"gse149590",2
"gse149689",57
"gse149808",1
"gse150392",20
"gse150938",1
"gse151674",9
"gse152075",216
"gse152418",612
"gse153180",1
"gse15471",1004
"gse155249",32
"gse155353",2
